AENAM,BISMT,BREIT,BRGEW,BSTME,DATAB,EAN11,ERNAM,ERSDA,GEWEI,HERKL,HOEHE,KZKFG,LAEDA,LAENG,LIQDT,LVORM,MANDT,MATKL,MATNR,MBRSH,MEINS,MFRNR,MSTAE,MSTDE,MTART,NTGEW,PRDHA,PSTAT,QMPUR,SPART,VOLEH,VOLUM,VPSTA,XCHPF
wilsonmeliss,398835164862676322,48.192,84.293,L,20250921,4448185636896,patricklisa,20211118,KG,US,94.583,X,20210416,40.886,20241003,"",100,538372552,815641819985535852,A,M,1000000308,02,20201005,HAWA,78.693,824682781451571830,K,X,03,M3,0.186,K,""
john43,671263436865829278,36.314,443.267,EA,20230709,5198706751915,dharris,20251118,KG,US,36.97,"",20240721,46.574,20220517,"",100,782818745,963538747374028600,C,EA,1000000236,01,20241219,HALB,365.674,885702529861948020,K,X,03,M3,0.063,K,X
joneskimberl,680559404343179139,55.7,141.572,KG,20230922,4148318401055,westgary,20200912,KG,CN,3.287,X,20251027,95.08,20210813,"",100,917857949,141887131478695934,M,M,1000000082,03,20250121,ROH,133.54,472321445104741931,K,X,02,M3,0.017,K,""
jonathonfox,977568269944512638,12.139,293.734,KG,20230106,1261745647644,stephenseddi,20221218,KG,CN,69.413,X,20200930,63.647,20230116,"",100,810867627,213155548074288163,A,L,1000000459,02,20220524,FERT,259.873,726733101689042623,K,"",02,M3,0.054,K,""
monicastewar,802760260560055969,30.318,363.832,EA,20211114,2812256978831,eharris,20210622,KG,IN,54.725,"",20241029,51.389,20250128,"",100,679178145,534872526035089425,A,L,1000000134,03,20251201,HAWA,295.876,611685120715391889,K,X,01,M3,0.085,K,""
yjohnson,505208262508474444,65.246,45.821,KG,20211105,5027621158134,ronaldbeck,20231217,KG,IN,75.496,"",20230223,40.164,20250209,"",100,647468968,171123647943247548,M,EA,1000000320,02,20230522,HAWA,37.188,215224723564485701,K,X,02,M3,0.198,K,X
friedmanjose,913316679488528843,94.748,16.951,L,20220304,7782274429313,andrew95,20230218,KG,IN,80.208,X,20220317,77.057,20221130,"",100,395979359,388169556636812303,C,L,1000000003,01,20210522,ROH,11.942,428237734886308985,K,X,01,M3,0.586,K,X
rileyjennife,126309329089835474,72.582,129.134,EA,20210622,1160675925733,huangsarah,20250613,KG,IN,71.165,X,20210115,20.232,20221105,"",100,309171268,259970866241114632,A,EA,1000000124,01,20221101,ROH,91.191,462659638089064274,K,"",01,M3,0.105,K,""
michelebartl,268053345569655608,55.679,388.288,M,20230224,7784256834485,edwinanderso,20201025,KG,IN,2.327,X,20240121,31.032,20240914,"",100,768547696,978582037261213515,A,EA,1000000020,03,20230611,HALB,367.644,289432244318286832,K,"",03,M3,0.004,K,""
jeffrey03,221565054150642340,89.526,145.001,L,20210122,8734593229754,watsonkeith,20230313,KG,CN,91.202,"",20231013,94.802,20230530,"",100,213851780,298867979907157933,C,KG,1000000253,03,20240608,HALB,113.639,581024769403692723,K,"",01,M3,0.774,K,X
castanedagar,910127424865051231,83.973,162.182,M,20240821,9073712042223,brittanyward,20220418,KG,CN,5.149,X,20231109,79.431,20250810,"",100,136632031,277170842706174804,M,L,1000000289,02,20211130,ROH,127.022,996933807284290947,K,X,02,M3,0.034,K,""
jasonmontgom,487302607758720474,96.38,388.199,M,20231231,7226630613354,kbrooks,20250703,KG,CN,53.399,"",20210215,12.089,20250801,"",100,983029652,601318208867141755,C,EA,1000000355,01,20220627,HAWA,360.211,117900484631690840,K,X,01,M3,0.062,K,""
jenniferjenn,833995774424281849,25.476,377.04,L,20230924,5574288353947,mitchellkevi,20211107,KG,IN,3.353,"",20230330,95.426,20251026,"",100,541367526,981873598635595033,M,KG,1000000255,01,20201002,ROH,274.058,941143756114628540,K,"",02,M3,0.008,K,X
william53,288405054698497205,60.904,240.819,M,20230127,5538974243474,pcarlson,20250904,KG,US,11.536,X,20211002,68.222,20210827,"",100,875009063,524214086707948843,M,M,1000000210,02,20211003,ROH,173.012,603775009305234619,K,X,03,M3,0.048,K,""
owilson,675873588774698282,93.569,299.181,M,20240727,3703180873581,jjones,20220419,KG,IN,96.391,X,20210609,9.207,20250110,"",100,171649276,784864141743809847,A,M,1000000199,03,20240128,HAWA,238.172,124931890565210414,K,"",03,M3,0.083,K,""
spatterson,221859057098611325,2.509,58.88,KG,20251119,1865248401400,karen40,20210705,KG,CN,73.95,"",20241208,8.802,20221226,"",100,415008388,151976863249868842,C,M,1000000378,02,20250411,ROH,47.384,123372555586893392,K,X,02,M3,0.002,K,""
floresanthon,342544055613380242,88.509,32.802,M,20210419,6564314354263,mfigueroa,20250425,KG,CN,30.065,X,20250412,78.843,20210402,"",100,132666096,791648439034471401,C,L,1000000354,01,20230611,ROH,25.243,694820232073919031,K,X,02,M3,0.21,K,""
fgamble,582540059633106265,64.27,163.584,M,20221109,8378479615216,andrea83,20210223,KG,IN,83.529,X,20220324,32.586,20241109,"",100,627500130,927854670276853974,C,KG,1000000340,01,20200924,HALB,116.652,920627933894018097,K,"",02,M3,0.175,K,""
colleenshaff,819025178776861394,73.267,396.804,M,20221017,2225068026077,robinsonjona,20241128,KG,US,53.653,"",20210730,83.501,20230712,"",100,577908254,250277823188851263,A,KG,1000000159,02,20250514,HALB,335.441,829864932379114043,K,"",01,M3,0.328,K,""
lanesamantha,532456485942784515,64.427,373.79,L,20240520,7713497636066,markwoodward,20230829,KG,IN,75.299,"",20250118,21.233,20211031,"",100,158557530,936388852625399085,C,EA,1000000229,01,20210921,ROH,335.349,836241467439097215,K,X,02,M3,0.103,K,""
williamsbeve,981864757916145161,41.231,183.68,KG,20240111,5896775166603,heather60,20210627,KG,US,71.915,"",20240919,33.446,20240528,"",100,678924142,719301962261028259,M,EA,1000000404,03,20240310,FERT,158.284,300559646188369399,K,"",01,M3,0.099,K,""
gibbsjasmine,658778574683064514,39.585,414.579,KG,20201020,9610662707177,saundersheat,20240907,KG,IN,50.081,"",20250210,44.215,20220317,"",100,647468968,717334482235401015,C,L,1000000204,01,20210606,HAWA,391.816,269775662448112674,K,X,02,M3,0.088,K,X
jeffreywrigh,639984093553804093,51.047,354.055,M,20211218,9720849383158,meghan83,20210121,KG,DE,9.31,X,20240627,83.155,20231005,"",100,421979938,860497817977019436,M,M,1000000304,01,20230816,HAWA,274.938,233195709016248357,K,"",02,M3,0.04,K,X
diazkaren,259378056384687264,2.541,354.485,M,20220610,8322215245333,jessicaspenc,20201013,KG,IN,50.7,"",20211121,16.086,20211002,"",100,426788805,634481491034699333,C,L,1000000359,02,20220615,ROH,294.857,699469899643931895,K,"",02,M3,0.002,K,X
brandon13,622494610011593281,68.022,205.24,L,20240406,1014655608236,sandra91,20210623,KG,DE,86.719,"",20210614,64.836,20240531,"",100,527316716,228910428503174556,M,L,1000000090,03,20250925,HALB,149.31,813596402706842318,K,"",01,M3,0.382,K,X
tracytrujill,140932968812903626,7.237,13.286,M,20210727,1007218547202,lisasellers,20220104,KG,DE,32.233,"",20211007,11.319,20240119,"",100,678924142,637533910607019923,M,L,1000000432,01,20240809,HALB,10.344,631604490966661575,K,"",01,M3,0.003,K,""
urivera,867134333715574854,36.566,74.274,EA,20250504,2935410698590,benjamin09,20231111,KG,DE,45.295,"",20250406,6.919,20241204,"",100,273739642,760608859397032786,M,KG,1000000337,01,20220929,HALB,59.86,619650302440492533,K,X,02,M3,0.011,K,X
wwright,145135093840593164,5.839,121.224,M,20250927,1834590227904,parkmartin,20230622,KG,DE,88.841,"",20230819,29.72,20221223,"",100,868985876,949829596295176000,A,L,1000000347,01,20221122,ROH,113.55,872325830867479988,K,"",02,M3,0.015,K,X
colemanlarry,222392716649530574,76.797,199.659,EA,20250113,3955528258529,fnorris,20211116,KG,US,66.73,X,20241106,31.782,20211102,"",100,312723107,997740946270550168,A,M,1000000091,02,20211218,HALB,166.688,213287892139128968,K,X,01,M3,0.163,K,X
brendanstewa,464969091351369973,82.478,327.928,L,20250619,2880076747962,mileschristo,20240111,KG,US,73.954,"",20220921,69.009,20240316,"",100,426902578,982709408253610636,M,EA,1000000014,01,20201004,FERT,238.676,270803797998560071,K,X,03,M3,0.421,K,""
carterrobert,257731559198017873,85.888,110.247,KG,20230518,6043858427745,wfriedman,20231003,KG,DE,45.624,"",20210912,72.725,20241111,"",100,350755615,933891350308152899,C,KG,1000000093,02,20250502,HAWA,85.244,686703850900949182,K,X,03,M3,0.285,K,X
davidweiss,459454996319852282,25.374,172.309,EA,20250708,1923174641014,williamcarri,20210320,KG,CN,24.08,"",20210815,40.155,20210723,"",100,783954416,909091807028805503,C,KG,1000000397,01,20220608,HALB,145.305,631120364267511169,K,"",02,M3,0.025,K,X
moorekathlee,343886098909150808,75.105,420.662,EA,20210610,3259415223421,kristin10,20240420,KG,IN,22.587,"",20210602,30.595,20230512,"",100,206292919,369257334660652741,C,KG,1000000455,01,20230526,HALB,383.371,413592811756204391,K,"",02,M3,0.052,K,""
davidmoore,668528144006744284,75.422,200.99,KG,20241031,8043941625045,justin84,20230702,KG,CN,46.477,"",20210624,12.276,20250729,"",100,174710538,581208628670789304,A,M,1000000112,03,20241001,HAWA,146.514,154545784489973444,K,"",01,M3,0.043,K,""
willisandrew,599914873083782801,18.122,349.426,L,20230724,9416024864278,charles30,20210305,KG,CN,20.886,"",20240605,43.731,20211128,"",100,161474133,828173094264971869,M,M,1000000118,01,20251029,ROH,294.199,872406059379258049,K,X,02,M3,0.017,K,X
michael03,876917200456122425,33.271,169.799,M,20230927,8938588786449,andrew00,20231014,KG,IN,57.55,"",20250419,83.971,20220110,"",100,626068166,886267875728043754,M,L,1000000208,03,20250217,HALB,128.503,937712168782228144,K,X,03,M3,0.161,K,X
madeline16,195498010223512166,42.835,429.71,KG,20220130,8919947738827,alexander40,20250112,KG,IN,16.869,"",20230903,85.463,20240716,"",100,791229055,810867108118976968,A,L,1000000168,01,20220210,FERT,353.986,500032476862071198,K,X,01,M3,0.062,K,""
annastark,826892439270558985,16.79,393.903,L,20201102,7137285924005,lewisrichard,20230720,KG,CN,67.66,X,20211209,94.266,20230227,"",100,955924228,597591012393665991,C,L,1000000360,02,20230109,HALB,356.943,986382830750731049,K,"",01,M3,0.107,K,X
jaredrodrigu,412511688315915539,45.778,455.891,EA,20241007,3563387497145,laurie70,20221202,KG,CN,59.613,X,20251223,35.175,20231211,"",100,640402368,682781244408453959,A,L,1000000259,02,20211126,ROH,362.41,932328478394614920,K,X,02,M3,0.096,K,X
hendrickscha,559944994477362833,28.777,339.488,KG,20210723,3931444258122,stevencarter,20240912,KG,CN,64.096,"",20251101,32.962,20220507,"",100,903947629,418701746269897001,M,L,1000000191,01,20250311,FERT,257.614,401331249449356592,K,"",01,M3,0.061,K,""
melissaparso,316676997922893580,47.045,103.507,L,20231206,7988803472903,donaldtaylor,20221105,KG,IN,91.303,"",20230929,59.847,20240403,"",100,158557530,660178878152885293,C,EA,1000000444,01,20250101,FERT,74.752,225182196676702471,K,X,01,M3,0.257,K,""
itaylor,358460508616072636,2.367,34.602,M,20210306,2643688332815,jwood,20200823,KG,IN,78.333,"",20210606,69.95,20231009,"",100,497285869,905937245736228426,A,L,1000000443,02,20240105,HALB,30.058,396390956707996429,K,X,01,M3,0.013,K,X
cwilliams,841084442357751243,6.789,83.989,KG,20220421,1538921062388,susandunn,20230721,KG,IN,39.526,X,20250309,27.998,20220907,"",100,426788805,563379681712409673,C,EA,1000000109,01,20250312,HAWA,70.242,503052118764791299,K,"",03,M3,0.008,K,""
holly39,783082491755902299,66.432,41.743,EA,20240218,7171493614274,nmay,20220429,KG,CN,93.298,"",20220920,86.949,20250830,"",100,345029252,499543664002379156,C,L,1000000155,02,20210906,FERT,39.642,285364216678304508,K,"",02,M3,0.539,K,X
robertortiz,678109484224485224,97.442,157.638,EA,20230301,9117070680833,zvasquez,20231023,KG,US,88.934,"",20201213,77.789,20200831,"",100,768547696,308460327263381665,C,KG,1000000479,03,20250508,ROH,134.613,967880953846122801,K,"",03,M3,0.674,K,X
moodylori,322081908965228502,85.765,87.448,EA,20220921,2287052767099,malloryander,20220127,KG,IN,76.686,X,20220719,2.386,20240316,"",100,956579157,670542358829262939,A,KG,1000000095,01,20260118,FERT,78.391,865368542832588295,K,"",01,M3,0.016,K,""
matthewwrigh,617084246791177562,96.105,329.085,M,20240609,9797993907228,dsmith,20240914,KG,IN,95.276,X,20221229,34.707,20211218,"",100,128822045,640819209875893904,M,L,1000000147,01,20240206,HALB,262.241,251037148335459549,K,"",02,M3,0.318,K,""
jenniferhanc,112134498610892478,77.845,383.519,M,20220314,8559342733298,monteselizab,20211122,KG,US,64.319,"",20210120,43.038,20210901,"",100,199636801,622431747739305295,A,M,1000000047,02,20240530,ROH,318.006,422533170434959727,K,X,03,M3,0.215,K,X
nancydennis,975824030178279068,55.016,346.509,EA,20210222,2018679762483,cbrown,20241101,KG,IN,8.375,"",20230509,23.806,20230908,"",100,908594494,384060208868980233,M,L,1000000399,01,20231217,HAWA,260.144,454282645817594067,K,"",03,M3,0.011,K,""
xhuynh,765819398050731583,31.147,239.118,EA,20210805,5068513487674,cummingsadri,20210911,KG,CN,98.794,"",20240331,72.617,20241215,"",100,249311213,923564588337468143,A,L,1000000344,03,20220602,FERT,202.026,883756169876484784,K,"",02,M3,0.223,K,X
candice89,120120776616181061,6.865,376.067,L,20201227,7180725770841,mcgeebrandon,20201021,KG,CN,36.08,X,20240917,79.074,20231109,"",100,199636801,939085524058845943,A,EA,1000000367,03,20260128,FERT,282.017,226209099068015855,K,X,03,M3,0.02,K,X
dustin91,685195786272051969,91.849,93.821,KG,20250228,5680738724573,lball,20210201,KG,IN,42.429,"",20220305,8.565,20210608,"",100,644530791,268389742255516579,C,L,1000000123,01,20220527,ROH,77.456,652367269309679226,K,"",03,M3,0.033,K,""
karen54,981012849677885674,27.379,326.153,L,20250905,1950508424800,angela48,20220711,KG,IN,93.897,X,20251104,72.385,20260108,"",100,351152247,287131458988237086,A,KG,1000000187,02,20230831,HALB,264.747,509383285935719412,K,"",02,M3,0.186,K,""
zbriggs,412316378311611456,90.002,411.63,L,20251116,3277593241075,sandra14,20210815,KG,CN,77.158,X,20230520,88.811,20240723,"",100,426902578,382400386639121163,C,L,1000000353,01,20221002,ROH,360.222,668484122202216405,K,"",03,M3,0.617,K,X
michaelbenne,593026014020652691,9.137,74.878,EA,20240907,5322082435983,alvarezjamie,20230418,KG,IN,26.174,"",20230530,42.627,20220123,"",100,177541896,144207003444621621,M,KG,1000000271,02,20201217,FERT,67.6,266965907945821122,K,"",03,M3,0.01,K,""
barbara82,912461194404859373,28.924,235.149,EA,20231216,7049633414535,timothytaylo,20210720,KG,DE,85.208,X,20230902,4.73,20201114,"",100,142631312,256580427459150056,A,M,1000000026,03,20221002,HAWA,174.134,589997186740281844,K,X,02,M3,0.012,K,""
harveysharon,433992721113155475,22.361,131.557,KG,20240418,2053942129047,simmonsemily,20240415,KG,CN,68.07,X,20220207,36.725,20230520,"",100,768547696,968272976467567051,C,EA,1000000227,02,20250608,ROH,98.706,382475731237515700,K,"",03,M3,0.056,K,X
hamiltonnata,287820689790363660,15.431,469.339,EA,20250209,3359663544080,millershawn,20201111,KG,US,38.838,X,20241113,15.093,20221124,"",100,312723107,492507730999261177,A,M,1000000198,01,20220819,HALB,344.411,317133783354533546,K,"",02,M3,0.009,K,""
qphillips,723540830377781417,27.419,239.019,EA,20240205,4975606066452,lisa49,20250207,KG,IN,77.114,"",20220206,29.761,20240513,"",100,171649276,161873458360467663,A,L,1000000406,01,20220826,HALB,217.445,786872508957796360,K,"",02,M3,0.063,K,X
williamscory,805294373308143955,79.168,299.423,L,20201113,3765237276238,carlos36,20210417,KG,CN,29.73,"",20240803,14.877,20210315,"",100,744392036,466282911605440676,A,M,1000000130,01,20230429,HAWA,261.122,132683907287339909,K,X,03,M3,0.035,K,""
wrightdavid,854110769158128082,99.924,223.724,M,20220530,2193545281635,smithmichell,20221216,KG,US,43.034,"",20240421,79.224,20240801,"",100,299092355,446271893045678805,A,M,1000000477,03,20241203,HALB,205.084,898485048981549856,K,"",02,M3,0.341,K,X
edwardsnicho,471644885590879837,37.152,50.198,EA,20230407,6862349705735,johnbarber,20220529,KG,DE,33.791,X,20221108,60.471,20230605,"",100,213851780,671670584951296544,A,L,1000000150,02,20210119,HALB,46.062,886491954150091554,K,"",03,M3,0.076,K,""
wfuentes,431825613629503283,52.23,199.652,EA,20230714,1425828914415,dickersondon,20250509,KG,IN,38.755,"",20230520,54.246,20210620,"",100,606834982,297116907560930430,M,EA,1000000156,02,20250128,ROH,163.443,282367224886751424,K,"",02,M3,0.11,K,""
qwilson,845830868489754812,75.112,341.991,EA,20240530,2955765795061,lambmaureen,20230523,KG,US,73.18,"",20241225,51.916,20201206,"",100,254816325,162161518321964966,C,L,1000000289,03,20221029,HALB,242.493,982764904954083608,K,"",02,M3,0.285,K,X
emily60,170727290721347654,80.685,197.517,M,20210822,5405873997385,rruiz,20221013,KG,US,24.157,X,20220518,70.93,20211103,"",100,310575145,700590821844688833,C,M,1000000170,01,20201226,HALB,167.228,270751802000767440,K,X,01,M3,0.138,K,X
charleshines,235035283075237698,55.155,268.842,M,20230411,1737302104064,james25,20231104,KG,CN,28.099,X,20210814,15.869,20210428,"",100,713890793,165882725720330268,C,EA,1000000180,03,20250719,HAWA,218.743,666222001051745508,K,"",01,M3,0.025,K,""
kingmarvin,580808445411672824,97.475,241.77,KG,20231122,4028805922687,traceybarber,20250408,KG,US,12.821,X,20251231,54.914,20230607,"",100,405460430,950997050208006700,A,KG,1000000495,01,20230603,HAWA,177.042,422416187594936470,K,X,03,M3,0.069,K,X
michelebaker,181129376959096874,39.646,73.996,EA,20230207,5574323223970,hamptonangel,20260104,KG,IN,79.981,"",20200920,59.006,20231227,"",100,136632031,734787556425888288,C,KG,1000000295,02,20250620,HAWA,53.389,367485956618608526,K,X,02,M3,0.187,K,""
baileyerin,572372065518561238,54.473,470.341,EA,20210321,5788367948969,shepardmark,20211121,KG,CN,25.35,"",20250304,25.342,20250922,"",100,158557530,988938182611382023,C,KG,1000000465,03,20210713,ROH,330.421,868360167406172487,K,"",03,M3,0.035,K,""
gomeztina,854498320115582539,50.784,391.872,KG,20240229,2379899042386,stephenhays,20250420,KG,IN,61.102,"",20250107,35.002,20210314,"",100,561892320,268599639093515692,C,M,1000000273,02,20250908,ROH,344.296,853021857065050893,K,"",03,M3,0.109,K,""
malonerobert,144952663100145060,70.842,390.08,KG,20240805,4186860401262,samanthaarel,20240120,KG,DE,79.516,"",20220518,87.737,20241211,"",100,519541610,734138778981954790,C,KG,1000000198,01,20210829,HALB,292.1,767357777103136910,K,"",01,M3,0.494,K,X
ayersjessica,541389367545149591,39.473,338.721,KG,20250605,2608832878760,frankcarter,20210511,KG,US,29.541,"",20231215,16.859,20221213,"",100,425901349,925257426229467380,C,L,1000000293,03,20221016,HALB,260.605,319622823495341397,K,"",03,M3,0.02,K,X
lozanoalan,247484033253410266,96.907,215.16,M,20240330,1336712569124,hollyanderso,20220324,KG,US,76.07,"",20250529,58.058,20230320,"",100,972447593,653783521998456883,C,L,1000000477,01,20230701,ROH,180.434,417764612384417597,K,"",01,M3,0.428,K,""
brianmarsh,881036514277315701,96.429,15.352,L,20230129,6932882572269,dorozco,20231031,KG,DE,60.06,"",20230730,36.097,20230403,"",100,196375262,903752035525468208,C,L,1000000013,01,20240908,HALB,13.131,410775674720284804,K,X,01,M3,0.209,K,""
brian45,854053833078030370,42.95,88.302,L,20220331,5096908121553,benjaminrobe,20250329,KG,US,18.864,"",20210101,98.111,20211118,"",100,972216340,784741324512320552,M,KG,1000000192,03,20211010,HAWA,75.464,207215603567471281,K,X,01,M3,0.079,K,""
castilloalex,521580326633381705,49.925,174.64,KG,20220220,3902342513586,upugh,20201013,KG,IN,12.149,"",20200921,37.727,20220116,"",100,561892320,215475666329229932,A,EA,1000000445,02,20251127,HAWA,133.145,839751426299124558,K,"",01,M3,0.023,K,""
vincentsarah,694244309016451687,55.188,217.732,KG,20240504,9649579421921,diane37,20210112,KG,US,45.481,"",20220807,89.98,20250505,"",100,709813845,576471288710163180,M,L,1000000048,03,20230822,ROH,180.699,764352555778421232,K,"",02,M3,0.226,K,X
rmann,547033173521835740,15.654,109.963,KG,20251127,5041317668068,kennedywayne,20230615,KG,CN,27.457,X,20220628,63.296,20230212,"",100,247201618,811852432577160700,A,L,1000000043,02,20220513,ROH,97.65,362462154491821969,K,"",01,M3,0.027,K,X
brookejones,542334633202403404,11.067,321.601,L,20230425,5790281787542,teresacampbe,20230814,KG,US,39.97,"",20241111,32.04,20231120,"",100,278048200,341596328215705170,M,KG,1000000029,01,20230824,HAWA,275.706,471048354068139963,K,"",01,M3,0.014,K,X
wellslisa,163418090423933267,64.369,207.686,L,20231116,4057574417619,thomaspham,20230812,KG,DE,8.962,"",20240610,91.135,20210517,"",100,254816325,348730990433618666,A,L,1000000443,01,20240329,ROH,172.285,854763395454334656,K,X,03,M3,0.053,K,""
michael95,980364689842406899,89.423,141.599,L,20240122,5447345379838,russellguerr,20260122,KG,DE,3.996,"",20231210,14.689,20240703,"",100,185676816,523581289710696554,A,L,1000000034,01,20210109,HAWA,122.037,242640338445429055,K,X,03,M3,0.005,K,X
laramichelle,546555044690942236,53.974,136.021,M,20201216,2198634325321,philipcollin,20231003,KG,CN,19.486,X,20240618,21.638,20240504,"",100,271241237,802009491463587838,A,M,1000000047,03,20201028,ROH,100.031,242325362111141972,K,"",02,M3,0.023,K,""
aguilarmark,230590456725258403,91.497,153.055,EA,20240102,7595890270563,juarezronnie,20241016,KG,CN,44.519,X,20230108,69.524,20250329,"",100,271241237,146119981795905075,M,KG,1000000386,02,20220430,HAWA,111.668,743730387238337354,K,"",01,M3,0.283,K,""
guerreroashl,757472644534164767,8.585,225.442,M,20240511,3580211417316,tyler71,20211216,KG,CN,47.036,X,20250621,29.664,20241115,"",100,721679746,365713473871977282,C,KG,1000000112,03,20221121,ROH,203.815,354656875710528414,K,X,02,M3,0.012,K,""
paul67,579036015570766071,33.025,155.761,M,20250330,1065471307384,melissa77,20240116,KG,US,28.848,"",20260114,14.737,20231221,"",100,404035291,558347924755649084,A,M,1000000483,03,20210317,ROH,120.743,707692129541242325,K,"",01,M3,0.014,K,X
hernandezsar,735132227389369191,47.626,197.032,L,20210825,5814438544330,floreslarry,20220708,KG,DE,86.979,"",20220712,18.682,20250507,"",100,307028764,810139727022503250,A,L,1000000100,01,20240909,FERT,146.94,458290308925094192,K,X,03,M3,0.077,K,""
caldwellmich,936948369085854813,1.483,156.538,M,20210904,3813235387403,lewiskristin,20241129,KG,DE,63.001,X,20220821,22.463,20220619,"",100,713890793,600285141965967822,A,KG,1000000160,01,20250430,HALB,114.058,140741447678266929,K,X,01,M3,0.002,K,X
rholt,514763477980577283,85.705,155.065,L,20240323,4555267528834,obrown,20210620,KG,DE,6.712,"",20221211,98.341,20250606,"",100,312723107,918473976186178999,A,M,1000000290,02,20201213,ROH,145.864,581424302409462122,K,X,03,M3,0.057,K,""
williamssara,822589982707255576,26.978,190.746,EA,20260102,8447741436372,xscott,20230730,KG,US,77.85,"",20240329,82.837,20250203,"",100,678924142,733562007887111368,M,M,1000000019,03,20250311,ROH,153.101,647252769135566708,K,"",03,M3,0.174,K,""
curtiswhite,777398635249297235,13.545,185.776,EA,20220520,5065841290541,ruizpatricia,20220610,KG,CN,89.687,X,20240625,41.983,20240530,"",100,158557530,585619704310486841,C,M,1000000050,03,20250903,HALB,138.171,125682084410683605,K,X,03,M3,0.051,K,""
billy73,754427704718132808,59.594,194.653,EA,20220206,7219028296589,kimberly55,20220419,KG,US,32.55,"",20210403,43.684,20250402,"",100,668700867,350468826806813758,C,KG,1000000082,03,20230225,HALB,172.956,295985133266507382,K,X,02,M3,0.085,K,""
steven40,977804968984576670,99.312,167.615,KG,20210429,1210462095460,krausejoseph,20201210,KG,IN,14.853,X,20210129,21.883,20240731,"",100,668700867,179712356490136353,M,KG,1000000294,01,20230519,ROH,149.869,105122505490603652,K,X,02,M3,0.032,K,""
matthewsmith,350564169862774225,72.587,12.18,L,20201003,7622843091683,brendapatter,20231214,KG,CN,77.288,"",20210606,21.088,20220723,"",100,970190751,960775362856835809,A,EA,1000000469,03,20230106,HAWA,10.84,611710089231895099,K,"",02,M3,0.118,K,""
armstrongjen,343064025697658610,53.177,151.655,M,20230205,1359640801539,yatessarah,20230902,KG,CN,14.512,"",20250919,48.139,20250807,"",100,229767110,942809175380002090,A,EA,1000000047,01,20240222,HALB,120.308,121454951596736621,K,"",01,M3,0.037,K,X
jbowman,535747572330092045,87.967,312.107,KG,20251202,7796106628052,garciajoseph,20210422,KG,CN,68.939,X,20241116,33.082,20230605,"",100,310575145,128310103520293526,M,M,1000000450,03,20220604,FERT,270.333,928388546608088742,K,"",01,M3,0.201,K,""
markhall,440906456416945029,31.734,394.694,M,20240128,7526412767063,cathysmith,20210302,KG,CN,58.179,"",20201005,20.979,20230121,"",100,287289938,367913991083509821,C,KG,1000000219,03,20250504,HAWA,332.719,322721289275836806,K,"",02,M3,0.039,K,X
james85,819730182486829387,93.407,269.623,EA,20210920,9080341309055,patricksulli,20230217,KG,CN,75.173,"",20210801,23.514,20240109,"",100,174055867,557633898802015088,M,M,1000000416,02,20210201,FERT,227.08,543724242689284930,K,X,01,M3,0.165,K,X
inewman,809285505818364573,11.681,10.87,L,20220213,8467529485314,donna68,20220522,KG,IN,42.715,X,20220430,46.115,20241203,"",100,830824082,216506979290270253,C,KG,1000000046,03,20231227,HALB,8.799,379446513348720385,K,X,02,M3,0.023,K,""
baldwintammy,196470785672189164,98.81,186.238,M,20221219,8414023038835,gary67,20250305,KG,CN,39.073,"",20221026,83.575,20211116,"",100,954103624,209242404530959336,A,KG,1000000308,01,20241123,HAWA,162.755,920193564684854262,K,X,03,M3,0.323,K,X
whitecalvin,369764332757121221,61.106,127.71,M,20250826,6416309443524,batesdean,20210421,KG,DE,46.826,"",20230804,34.812,20241009,"",100,978108413,407125858277777587,C,EA,1000000491,02,20220509,ROH,96.708,700606205233318828,K,"",01,M3,0.1,K,X
vazquezdavid,246244091165493180,7.178,142.004,M,20250805,8940967269859,krojas,20220813,KG,IN,26.402,X,20250422,56.413,20210702,"",100,804421986,157017826647227748,C,KG,1000000154,02,20210418,HAWA,103.566,336167172856573897,K,X,02,M3,0.011,K,X
justin88,685347066745492308,38.799,140.598,L,20230625,9485792426811,gibsondaniel,20230715,KG,US,6.144,X,20250325,11.601,20220719,"",100,368547229,980725101179318874,A,M,1000000359,03,20210721,HAWA,112.668,219447472810284206,K,"",03,M3,0.003,K,""
scott36,378893414930371537,71.675,329.582,L,20230415,6289427042733,abigail54,20210506,KG,US,32.607,"",20240114,79.32,20200824,"",100,273739642,142798036944776076,M,EA,1000000104,01,20240223,FERT,310.279,986205972372516235,K,X,02,M3,0.185,K,""
rickygarcia,950350651958763224,18.398,460.013,EA,20210830,3807479267147,yolandaevans,20230325,KG,CN,35.04,"",20230923,52.171,20230917,"",100,903947629,227860212539424762,M,L,1000000080,03,20230106,HAWA,389.18,249472255019694505,K,"",02,M3,0.034,K,X
ydixon,376378298714379020,49.592,251.981,M,20210509,3192753850604,jacob46,20220316,KG,IN,26.625,"",20231118,7.76,20221221,"",100,555359340,385677338635676881,A,L,1000000071,03,20230403,ROH,187.683,753862796080879726,K,"",03,M3,0.01,K,X
brownjoshua,442914664409449764,45.83,3.452,KG,20210524,6942647695213,starkmatthew,20221213,KG,CN,71.69,"",20230907,88.424,20221021,"",100,247201618,552810980113767299,A,L,1000000095,02,20220111,HALB,2.44,728172124781035111,K,X,01,M3,0.291,K,X
