CHARG,ERSDA,LBDLL,LBEIN,LBFLL,LBFLQ,LBILL,LBILQ,LBINS,LBJIN,LBLAB,LBRUE,LBSPR,LBUML,LBVEI,LBVIN,LBVLA,LBVLL,LBVLQ,LFGJA,LFMON,LIFNR,MANDT,MATNR,SOBKZ,WERKS
B737224,20230902,20240715,242.888,002,002,003,002,872.974,2023,4544.113,"",X,386.68,194.479,815.629,4272.981,002,001,2023,10,V000342,100,846657671012800054,O,P040
B379460,20240912,20240328,163.686,003,002,003,003,668.882,2022,4090.082,"","",578.517,133.058,632.15,3445.878,002,003,2026,03,V000558,100,474460339825551352,"",P011
B171953,20250921,20240103,16.78,001,001,002,002,84.181,2023,466.0,"",X,41.246,13.586,71.604,382.995,001,002,2022,12,V000226,100,470249314513249469,"",P003
B250453,20250306,20241117,32.797,003,003,002,001,83.488,2026,782.598,"","",95.263,29.583,72.49,700.65,001,002,2025,06,V000119,100,637817604196745129,O,P035
B437044,20240625,20240808,91.43,003,001,001,003,321.285,2022,3778.668,X,X,494.932,82.99,299.058,3522.551,001,003,2022,11,V000898,100,280386974241616723,"",P014
B331066,20251025,20251212,104.726,003,003,003,003,400.802,2023,3505.824,"","",669.045,94.188,378.514,3100.13,002,003,2025,06,V000826,100,737055423580451490,"",P050
B957541,20240605,20251011,138.074,001,002,003,001,185.02,2023,2126.333,"",X,136.862,114.028,166.086,1797.842,003,001,2022,02,V000190,100,334371925948500552,K,P050
B294790,20230928,20250822,59.523,001,003,001,001,72.653,2022,662.965,"","",114.638,50.732,61.478,562.539,003,003,2025,03,V000921,100,614882917139540770,K,P022
B392697,20241225,20240909,172.17,003,003,003,001,489.182,2025,2574.363,"",X,228.531,138.318,445.546,2357.869,001,003,2023,11,V000781,100,770556212342840959,"",P023
B654259,20251101,20250721,288.862,002,001,003,002,448.678,2025,4241.751,X,X,417.082,240.083,413.779,3902.647,002,002,2026,08,V000730,100,802945612562406338,K,P042
B126142,20241027,20251111,300.274,003,002,001,001,245.436,2024,4762.223,"",X,257.308,280.496,228.169,4223.952,001,003,2025,05,V000092,100,251328260961689021,K,P003
B264133,20240709,20241218,96.576,001,003,001,002,291.063,2023,1745.652,X,"",145.982,87.215,242.463,1499.642,001,003,2022,04,V000584,100,112324237210543479,O,P016
B221991,20240428,20260104,216.769,001,003,002,002,296.435,2022,3514.126,X,"",385.931,181.085,265.011,3120.889,003,001,2025,07,V000763,100,891316741450728633,K,P041
B291273,20250510,20230616,366.168,003,002,003,001,214.893,2026,4035.999,X,X,332.571,294.381,178.376,3424.2,003,002,2024,11,V000114,100,628825338231133678,K,P047
B124497,20230803,20241015,87.17,001,002,003,002,268.461,2024,1749.881,X,"",107.27,76.532,233.106,1631.411,001,001,2023,06,V000355,100,960146407514918756,K,P034
B418728,20240904,20230611,302.581,002,001,002,003,729.757,2023,3953.241,"","",627.888,242.985,603.339,3163.02,003,002,2024,03,V000390,100,403907475771035745,O,P044
B671058,20240912,20250512,159.138,003,003,001,003,197.879,2024,2887.743,"",X,430.869,130.227,161.132,2609.136,002,002,2022,03,V000166,100,416742475686817520,O,P033
B628859,20241116,20240729,174.721,001,001,003,001,282.749,2022,1923.997,X,"",162.34,148.125,232.442,1722.713,003,003,2024,03,V000885,100,659659146881401628,"",P037
B309737,20250825,20231026,156.635,001,003,003,001,189.771,2023,2840.859,"",X,286.191,128.846,179.048,2373.809,003,001,2025,10,V000132,100,325953500108597447,O,P035
B903967,20231221,20250307,441.977,001,001,003,002,380.009,2026,4770.878,X,"",438.093,401.797,339.183,4042.893,003,001,2024,02,V000117,100,188777770458918897,O,P003
B609078,20260110,20231004,148.101,001,003,002,002,465.26,2024,4990.968,"","",740.864,119.036,379.598,4304.061,003,001,2024,05,V000416,100,982338312704141920,"",P015
B438329,20231204,20230726,297.926,003,003,001,003,377.688,2023,4393.172,"",X,356.567,269.672,328.317,3684.573,002,001,2026,04,V000665,100,376351505743344772,O,P004
B178001,20240622,20241113,59.857,002,002,003,001,166.298,2023,1217.846,X,"",155.163,52.94,135.974,1090.629,002,003,2022,02,V000320,100,542117077507272489,K,P027
B399686,20240630,20251019,369.067,001,002,001,003,477.599,2026,4597.509,"",X,548.37,297.927,426.44,4154.685,002,002,2026,03,V000965,100,715341139625065192,"",P037
B640524,20240619,20231228,64.573,001,001,003,003,73.167,2025,1434.335,X,X,240.263,51.951,63.331,1214.329,003,002,2025,09,V000169,100,792925203528435785,K,P018
B464573,20250829,20251127,149.971,002,001,002,001,158.087,2022,3087.879,X,X,357.132,139.406,133.816,2555.969,003,003,2025,11,V000433,100,859377707033621805,K,P031
B319518,20230820,20241026,11.741,001,003,002,001,39.052,2023,773.618,X,"",95.373,10.567,33.181,693.151,003,002,2022,12,V000158,100,666119750347388102,O,P001
B423896,20250319,20250301,48.402,002,001,001,002,233.553,2022,1278.867,X,"",138.865,39.802,199.577,1025.812,003,001,2026,07,V000789,100,333316014904029724,"",P040
B173014,20240828,20250223,126.902,003,002,002,003,745.768,2026,4269.0,X,"",284.337,103.677,639.077,3672.292,001,003,2022,02,V000456,100,596018559563619864,O,P020
B104302,20250610,20241213,461.972,003,001,003,002,386.727,2024,4747.963,"","",712.119,375.609,326.837,4119.379,002,003,2023,12,V000475,100,681405806131889011,K,P028
B204090,20250522,20250827,66.835,003,003,002,001,745.357,2025,3766.662,X,"",394.741,54.014,599.372,3511.226,001,001,2023,07,V000089,100,892736662708574137,O,P024
B261179,20240308,20230622,403.348,001,001,002,003,346.883,2025,4223.317,"","",379.241,323.078,324.525,3586.443,001,003,2022,03,V000819,100,564738231335488590,"",P002
B260838,20251221,20250724,237.257,002,001,003,001,180.088,2023,2505.95,"","",404.037,217.759,166.544,2372.044,003,002,2025,02,V000714,100,337574173783061002,"",P001
B390917,20250225,20241105,229.117,003,003,001,002,482.347,2026,3584.195,"",X,329.38,193.74,396.127,3195.004,001,001,2026,06,V000174,100,621160747798742460,"",P030
B735404,20250526,20251127,119.521,002,001,001,001,768.211,2022,4845.993,X,X,348.627,100.1,675.879,4414.386,003,002,2024,02,V000863,100,680512051418021762,K,P008
B447627,20250409,20250615,42.946,001,002,003,002,64.4,2026,441.422,X,"",55.762,36.793,59.075,364.282,001,003,2024,09,V000157,100,433955664192255246,K,P008
B816066,20240405,20240617,35.14,001,002,003,002,76.788,2024,1185.064,X,X,67.501,30.707,69.51,1033.112,001,001,2022,10,V000422,100,742544573201990816,O,P017
B620969,20260121,20240401,116.991,002,001,003,001,506.41,2023,2725.283,"","",328.845,102.887,449.244,2558.025,003,001,2022,04,V000459,100,646021052067380587,"",P024
B341552,20240317,20240725,34.046,003,002,002,003,130.065,2023,715.717,X,X,116.477,30.642,122.156,624.238,001,001,2024,06,V000235,100,895641228470294216,O,P019
B205266,20260203,20240404,187.975,003,001,001,003,649.273,2024,3277.15,X,"",423.605,169.392,591.147,2810.514,003,002,2023,12,V000817,100,223050494419511077,"",P001
B357603,20250302,20241130,83.195,003,002,003,003,244.026,2026,1409.676,X,X,178.961,71.398,212.273,1166.315,002,001,2025,11,V000918,100,438081295235325238,O,P035
B159575,20240916,20250501,48.835,001,003,001,003,172.14,2024,1063.181,"",X,161.114,39.163,140.901,924.783,003,001,2025,07,V000197,100,170413688871429141,O,P028
B467592,20241112,20230718,380.822,003,002,002,002,498.221,2024,4312.699,"",X,808.283,332.103,400.345,4045.936,001,002,2024,10,V000343,100,471724839193435585,"",P033
B273964,20260114,20250917,49.98,003,001,003,001,413.451,2025,2846.949,"","",384.058,45.953,362.321,2336.404,003,003,2022,09,V000087,100,880969072458056953,"",P014
B534920,20250416,20241209,47.118,003,003,003,001,249.756,2026,2155.535,X,"",183.364,41.783,200.981,2014.723,003,001,2026,02,V000770,100,463947265391734150,K,P019
B396869,20250501,20250327,52.325,001,003,003,002,85.432,2024,617.173,X,X,96.413,47.502,77.627,498.72,003,001,2024,02,V000223,100,684774041767663290,"",P031
B562803,20250319,20230926,83.414,003,001,002,003,186.111,2026,1836.822,X,"",178.555,73.81,156.59,1691.271,002,003,2024,01,V000777,100,979288855612417984,O,P044
B723714,20251218,20230602,51.072,001,001,003,002,484.498,2022,3156.156,X,"",218.528,43.825,434.644,2636.688,001,002,2022,04,V000389,100,673413870864449214,K,P026
B321394,20240508,20240826,166.947,003,002,003,001,498.873,2022,2684.564,"","",363.469,134.381,451.154,2431.243,002,001,2023,03,V000304,100,476216386020723535,K,P045
B786069,20231208,20241111,55.862,001,001,002,002,80.865,2024,1411.068,"","",175.621,50.585,71.31,1136.19,001,002,2023,07,V000682,100,190996583302900979,"",P047
B934964,20231004,20240615,282.588,003,001,002,003,394.537,2024,4299.134,"",X,579.816,254.635,328.46,3781.504,001,002,2023,02,V000616,100,693226767421107816,K,P015
B968358,20251210,20250922,67.9,003,002,001,001,144.683,2024,1801.993,"",X,107.667,61.348,126.209,1675.946,001,001,2022,11,V000049,100,458667009208898948,O,P018
B905616,20240709,20240701,184.433,002,001,001,003,477.558,2023,3859.19,X,X,229.931,159.828,403.891,3230.311,003,003,2022,02,V000622,100,896766881060071393,"",P007
B519454,20241207,20240729,315.339,001,003,001,001,313.816,2026,4312.545,"","",548.948,294.498,264.779,4070.395,001,001,2024,02,V000826,100,296333830272414692,K,P047
B312676,20241005,20250801,51.261,002,001,002,002,321.006,2025,1969.887,X,X,216.759,44.707,277.29,1836.368,002,002,2025,09,V000847,100,219977731100574598,O,P037
B305549,20241228,20240327,101.096,001,001,003,001,292.047,2022,1599.865,"",X,150.004,95.357,251.984,1290.596,001,002,2025,01,V000284,100,983071798894785598,O,P021
B612611,20240812,20230728,167.588,003,003,002,002,613.25,2023,3183.006,"",X,532.085,150.569,498.032,2863.112,002,001,2023,05,V000560,100,499388140771891716,K,P045
B752594,20240403,20230923,18.68,002,003,003,003,24.44,2022,394.606,X,"",54.539,17.362,22.313,333.549,002,003,2025,04,V000501,100,381801966285019163,K,P033
B158454,20230825,20241221,72.382,001,003,002,001,444.502,2022,2834.214,X,"",291.039,67.596,407.124,2607.393,001,001,2024,10,V000964,100,121865175450182128,O,P027
B392149,20230718,20240119,73.601,003,002,003,003,148.044,2023,1189.066,"",X,191.763,63.628,137.382,1029.746,003,003,2022,02,V000567,100,402306009130703352,K,P027
B301887,20251003,20250215,40.246,001,003,003,002,82.952,2024,454.298,X,"",85.621,33.364,71.989,394.527,002,001,2025,01,V000379,100,991305407684075283,O,P028
B899496,20240501,20240607,6.662,003,001,002,001,74.529,2022,391.594,"",X,37.842,6.327,63.814,343.355,002,003,2026,09,V000102,100,267118094636185746,O,P033
B361650,20260201,20250120,181.978,002,001,003,001,620.425,2023,4832.445,"","",426.716,159.048,500.622,4389.475,002,002,2025,02,V000934,100,567895284092626779,K,P029
B896346,20241119,20230828,22.931,001,003,001,001,90.678,2024,1182.661,"",X,136.755,18.946,74.611,1097.654,003,002,2022,02,V000057,100,713018156432806979,K,P026
B902784,20230902,20251022,215.427,003,002,001,002,317.28,2025,3309.667,X,"",653.19,193.755,291.213,3089.94,003,001,2024,10,V000076,100,652799516063222491,K,P011
B936971,20260105,20250921,216.042,002,003,003,001,234.877,2025,3734.827,X,X,683.889,189.85,209.608,3044.28,003,002,2022,07,V000486,100,405529621778375882,O,P016
B427640,20240914,20241021,25.441,003,002,002,003,251.783,2025,1305.423,"",X,256.887,23.706,220.444,1202.706,001,003,2022,12,V000623,100,268599639093515692,O,P018
B245863,20250116,20260121,263.281,003,003,001,001,715.251,2023,3714.51,"","",710.217,249.197,619.548,3176.055,003,003,2022,10,V000553,100,610989369121880722,O,P010
B534424,20250222,20251103,39.396,001,002,003,003,170.811,2026,1609.307,"",X,241.169,32.638,156.936,1287.529,003,001,2025,10,V000875,100,960504513721943243,K,P019
B523173,20230602,20250414,12.958,003,001,001,001,19.161,2025,265.206,"","",20.458,11.319,16.181,230.481,003,003,2026,10,V000867,100,522029338343778956,"",P034
B104392,20240725,20240810,186.872,001,002,001,003,250.974,2024,4600.889,X,"",559.201,171.316,238.161,4114.85,002,002,2022,01,V000980,100,809807451149605253,O,P041
B491851,20240701,20241230,187.072,003,003,001,003,682.8,2022,4937.215,"",X,793.756,174.874,567.707,4312.872,003,003,2025,10,V000233,100,353008684485212470,K,P049
B529064,20240612,20230921,74.973,002,003,001,003,530.181,2022,3708.219,X,"",702.373,64.872,437.912,3505.76,001,003,2025,01,V000800,100,851401473610362847,O,P030
B244603,20250108,20240826,216.479,002,003,003,002,303.696,2023,3009.966,"",X,218.44,173.912,248.958,2563.081,003,001,2023,12,V000614,100,638801555049597934,O,P039
B323798,20250922,20230925,157.378,001,002,002,001,629.645,2023,3701.694,X,"",389.548,142.825,523.518,3177.704,001,003,2026,04,V000036,100,388801568230139789,O,P004
B435945,20250419,20251129,138.507,001,001,003,003,366.912,2024,3153.767,"",X,455.127,128.944,325.525,2779.44,001,002,2022,04,V000329,100,317676360606465800,"",P029
B578344,20250715,20231222,41.452,002,002,001,003,264.435,2022,2672.884,X,"",504.704,35.209,215.159,2208.763,002,001,2025,10,V000877,100,569304122266887345,O,P045
B622596,20250130,20240805,111.808,001,001,003,001,472.835,2023,2375.519,X,"",194.341,97.002,441.763,1950.032,002,001,2022,08,V000965,100,697767940909778652,O,P045
B446719,20250119,20250201,64.561,001,001,002,001,225.145,2023,2452.542,X,X,132.737,57.213,205.002,2044.814,003,002,2026,02,V000928,100,897980218611870482,K,P004
B320725,20250813,20240830,38.536,003,001,003,002,80.7,2022,613.232,"","",112.501,33.896,74.063,552.27,002,003,2024,04,V000016,100,493934783554275968,O,P037
B405845,20240220,20231221,93.264,003,003,003,001,172.951,2022,1815.795,"","",245.573,77.229,155.145,1718.962,003,002,2022,10,V000993,100,991276387526635723,"",P027
B235329,20250206,20230607,26.245,003,001,003,003,132.547,2023,1145.872,X,X,198.326,23.362,118.917,1016.961,002,002,2024,07,V000554,100,276092232597290885,O,P024
B359532,20230524,20230602,262.388,003,003,002,001,552.558,2026,4077.063,"","",210.987,239.45,487.597,3614.232,003,001,2022,03,V000528,100,960676906494735605,O,P034
B338379,20230806,20230911,158.39,003,003,003,001,340.226,2022,3148.03,"","",549.727,127.972,284.229,2809.911,002,003,2025,07,V000523,100,291211142819724120,"",P022
B390991,20250213,20231213,71.319,003,001,003,003,382.547,2026,4291.773,X,"",277.899,67.409,350.757,3818.393,001,001,2022,07,V000270,100,762788847854858607,"",P016
B131849,20240203,20230618,42.149,001,002,002,002,137.501,2023,1019.536,X,X,60.881,34.565,125.668,884.856,002,002,2023,12,V000547,100,564875055427202696,"",P034
B922269,20240412,20240912,242.919,001,002,002,003,654.732,2022,3353.489,X,X,620.684,225.983,611.889,2988.104,001,002,2022,08,V000657,100,778246840339019893,"",P050
B388192,20250226,20230804,432.487,001,003,002,003,911.106,2023,4655.212,X,"",685.123,368.955,831.862,4346.929,003,001,2024,08,V000060,100,670543159288904481,"",P044
B823649,20240113,20240228,123.225,001,001,001,003,400.148,2022,2393.383,"","",273.828,113.013,341.964,2046.208,003,001,2024,02,V000961,100,267272157576513868,K,P005
B188120,20241027,20240710,81.113,002,001,001,003,460.639,2022,2738.394,"","",352.483,67.729,383.324,2499.851,002,002,2023,11,V000817,100,259123620603278714,O,P003
B554171,20260207,20240829,66.047,002,003,001,002,72.246,2023,894.738,"",X,126.47,55.157,61.589,761.63,001,002,2024,05,V000843,100,715578742945067424,O,P049
B648527,20241117,20240118,316.505,002,002,003,002,318.889,2022,3403.358,"","",264.09,257.223,300.928,3059.362,001,001,2024,12,V000643,100,107041148481656436,K,P050
B382461,20241130,20231201,19.476,003,003,002,002,70.248,2023,354.811,"",X,65.213,16.093,59.161,300.091,001,003,2023,11,V000412,100,156095652731476088,O,P035
B695832,20230924,20240418,423.627,002,003,003,001,419.46,2022,4238.016,"","",412.716,355.338,335.663,3534.675,002,002,2024,02,V000303,100,313968457826923145,O,P045
B453412,20260122,20240320,306.059,001,001,001,003,530.995,2023,3868.52,X,X,742.712,251.602,470.719,3205.433,001,003,2024,09,V000347,100,315691370446897270,"",P027
B518760,20241018,20240904,114.403,001,003,002,002,445.862,2026,4173.576,"","",761.193,105.334,369.851,3689.187,002,002,2023,04,V000366,100,607019975429338281,O,P043
B929955,20240814,20250704,17.076,002,002,001,003,89.886,2024,866.038,"",X,171.304,14.827,83.907,737.321,003,003,2023,10,V000136,100,619830872940388218,"",P039
B113626,20230821,20231120,151.069,003,001,001,001,660.994,2026,4506.819,"","",393.789,132.484,547.23,3662.076,003,001,2023,03,V000790,100,573070237234837889,K,P006
B580638,20250128,20260207,402.127,001,003,003,002,413.566,2026,4561.885,"","",741.512,333.654,388.818,3834.556,003,001,2025,10,V000624,100,547630114181465234,K,P048
B624388,20230819,20241127,102.224,001,001,001,001,226.529,2024,2372.062,X,"",275.41,93.669,185.147,2208.689,001,001,2022,01,V000586,100,129019477835862433,"",P012
B516266,20250713,20250612,315.447,001,001,002,001,363.405,2023,3904.713,"","",612.995,253.74,292.097,3600.947,003,002,2022,09,V000038,100,465703726563195763,"",P020
B285973,20251110,20231025,24.822,002,001,001,002,75.776,2023,466.645,X,X,31.829,21.492,64.873,417.681,002,003,2023,11,V000623,100,468642085221946758,"",P035
B319461,20251015,20260206,210.01,001,001,002,003,171.392,2026,2240.81,X,X,113.074,189.099,156.14,2109.323,002,001,2024,09,V000339,100,127108466810120018,K,P017
B144181,20240811,20240816,18.918,002,003,003,002,111.796,2022,659.005,"",X,35.798,16.233,94.726,573.339,001,002,2026,10,V000286,100,257118163220893113,K,P008
B241543,20260212,20250324,87.332,003,002,003,002,387.811,2022,3531.755,X,"",660.575,79.978,341.073,2834.896,001,001,2022,01,V000077,100,811656483820654717,K,P028
B919455,20240627,20230908,389.081,001,003,003,003,499.291,2026,4684.067,"",X,630.247,312.767,471.835,4071.319,002,001,2024,04,V000861,100,791023568038737982,K,P014
B590418,20240319,20250125,301.361,003,002,003,003,364.423,2024,4252.881,X,"",272.48,275.483,343.926,3697.383,002,003,2022,09,V000009,100,715441026827414431,K,P018
B209257,20240720,20250714,122.953,001,001,003,003,781.48,2023,4532.069,X,X,659.717,116.638,629.699,4295.98,001,001,2022,02,V000364,100,128853758959925110,K,P038
B949200,20250907,20231124,123.174,002,003,001,003,276.849,2024,2954.389,"",X,199.003,113.712,245.525,2528.277,003,002,2024,08,V000473,100,424519112061024085,K,P019
B941141,20251220,20250702,63.631,003,001,001,003,536.386,2026,2913.625,X,"",329.562,58.338,478.129,2339.863,002,001,2026,11,V000037,100,666160660360772018,O,P022
B522488,20251128,20230815,43.08,001,003,001,003,37.52,2024,445.549,"",X,83.045,35.095,31.201,416.86,001,001,2026,01,V000011,100,773699799419552019,O,P004
B893273,20250929,20240629,134.339,002,003,002,001,363.093,2025,1859.097,"",X,156.387,116.735,329.985,1555.889,003,001,2022,12,V000971,100,385591915426065888,"",P004
B185401,20240605,20241103,47.189,001,002,001,003,367.883,2026,3771.343,"",X,508.988,40.051,296.034,3479.101,002,002,2025,03,V000359,100,107017773738437834,"",P028
B484995,20250614,20231128,324.486,003,002,003,002,540.134,2022,3699.654,X,"",584.769,259.943,451.732,3415.842,003,002,2026,11,V000708,100,860024779721375498,"",P043
B837619,20250630,20251208,46.347,002,002,003,001,126.827,2023,1107.263,X,"",212.575,39.088,111.214,919.694,001,001,2026,04,V000796,100,971277826727135427,O,P012
B325911,20241014,20240503,72.722,003,003,003,001,245.739,2024,1734.696,X,"",308.43,62.807,208.647,1531.568,002,001,2023,12,V000882,100,626772553781832072,"",P025
B976612,20240730,20230603,37.151,001,002,002,003,126.587,2022,837.444,X,"",56.084,31.791,119.777,719.313,003,003,2023,06,V000689,100,140352601075018745,O,P021
B761484,20251121,20251106,60.799,003,003,001,001,165.616,2022,3191.035,X,"",426.678,54.3,133.779,2572.547,002,001,2024,04,V000754,100,382936138558732750,K,P023
B962824,20240113,20240707,296.571,001,003,002,002,600.677,2026,4453.0,X,X,556.916,270.634,488.839,4043.121,003,003,2026,11,V000824,100,609192526135651091,O,P041
B655470,20231025,20250628,64.967,001,001,001,002,451.285,2026,2430.549,X,"",260.339,52.453,361.655,2179.797,001,002,2025,08,V000276,100,469870294308758679,K,P049
B450147,20250115,20230713,46.276,002,003,003,002,271.095,2024,2799.108,"",X,246.57,39.091,249.864,2271.548,003,002,2026,04,V000759,100,134073265941860292,"",P034
B675171,20250313,20241105,97.975,001,003,003,003,684.473,2024,3804.708,X,"",528.691,89.11,621.878,3119.638,001,002,2023,12,V000743,100,758353411317208957,"",P011
B724343,20250106,20251010,245.93,002,002,003,001,448.069,2022,3663.052,X,"",424.4,232.428,368.559,3117.099,002,002,2025,09,V000840,100,543945792761907590,O,P048
B478786,20231028,20251110,178.76,003,002,003,002,450.215,2022,4620.588,"","",543.287,162.977,367.77,3698.219,002,001,2024,01,V000854,100,998371922819378346,K,P027
B257038,20250116,20250325,6.828,003,001,003,003,48.939,2024,376.63,X,"",37.502,5.533,46.074,320.21,001,002,2025,10,V000376,100,346216287018730512,O,P031
B282044,20230626,20240703,89.128,002,002,003,003,73.132,2023,899.777,"",X,129.025,80.383,58.974,764.513,002,002,2024,12,V000054,100,267889062193457160,K,P012
B753119,20241120,20240603,110.348,001,001,003,003,419.262,2022,3142.306,X,X,544.081,95.718,391.718,2912.954,002,002,2025,11,V000997,100,978338415112476805,K,P041
B527899,20250603,20251115,155.82,003,001,002,003,188.624,2024,2305.373,X,X,322.9,125.388,168.731,1982.399,003,001,2026,01,V000331,100,724204149986181513,K,P033
B859166,20230714,20240612,66.512,001,003,002,003,47.912,2023,919.759,X,X,105.919,62.663,40.73,736.727,003,001,2024,02,V000808,100,589266093176039574,"",P026
B404106,20240318,20250810,412.807,003,002,002,003,258.679,2025,4289.489,"",X,770.543,333.817,233.892,3723.009,003,003,2023,04,V000376,100,616942229981880389,O,P011
B645098,20241204,20251213,52.207,001,003,003,002,51.707,2024,779.392,"","",80.302,44.552,44.962,637.863,002,002,2025,01,V000847,100,887264864119802244,K,P018
B423037,20241208,20230708,245.174,003,003,001,001,448.962,2026,4615.13,"",X,434.819,212.082,424.799,4003.552,002,001,2024,12,V000993,100,580312229257506919,O,P003
B247631,20250131,20240211,86.047,003,002,002,001,295.848,2024,3564.94,"",X,587.579,71.008,247.874,3206.196,003,002,2024,07,V000342,100,894194325451029069,K,P044
B510081,20250105,20250222,39.576,001,001,003,002,67.649,2025,822.064,X,"",45.105,37.29,54.518,716.519,002,003,2022,12,V000174,100,528135068310835627,K,P014
B749284,20251002,20250404,18.405,003,003,003,003,40.028,2026,330.082,"",X,22.545,16.562,33.315,289.962,003,002,2025,03,V000590,100,899985712141327259,O,P015
B671864,20250320,20231229,32.869,002,003,003,001,309.39,2023,2074.249,"","",185.495,30.693,280.87,1893.931,003,001,2025,09,V000880,100,728790284498695323,K,P020
B323124,20240701,20241210,53.871,002,002,001,002,155.8,2022,2307.164,X,"",299.849,44.831,134.27,1933.728,001,001,2022,02,V000534,100,945070075340864094,O,P007
B341765,20251228,20251110,160.313,003,001,003,001,220.0,2025,2896.407,X,X,375.108,130.644,194.692,2355.167,001,003,2026,10,V000627,100,748944469109235190,O,P038
B229807,20250621,20240226,318.356,001,002,003,001,634.959,2025,4418.432,"",X,763.529,269.055,599.254,3828.102,002,001,2025,05,V000463,100,916485050644900424,"",P039
B995500,20241027,20230522,23.967,002,002,001,003,365.672,2025,2371.678,"","",196.555,21.373,324.086,1950.907,002,003,2023,04,V000250,100,502321834771717391,O,P009
B796763,20241026,20251031,263.506,003,002,002,001,594.124,2025,3674.248,"",X,432.696,238.89,494.881,3107.798,001,003,2023,12,V000573,100,251797979009203187,K,P021
B294910,20250501,20231117,117.246,002,002,002,002,948.615,2022,4998.894,"","",496.195,106.129,852.423,4630.574,001,002,2023,06,V000516,100,847031953466924880,K,P018
B451945,20231225,20230713,122.72,002,001,002,002,214.666,2023,2982.2,"",X,354.092,114.841,189.467,2793.452,003,003,2024,04,V000836,100,738956477769146631,"",P008
B935168,20251208,20251008,198.929,001,002,002,002,666.682,2025,3681.581,"","",328.601,161.8,580.907,2962.177,003,002,2024,02,V000133,100,423770393100987110,O,P011
B716957,20250106,20250204,137.835,002,001,002,003,255.468,2026,1710.151,X,"",236.711,111.407,222.433,1573.324,001,003,2024,09,V000584,100,880961171144296887,O,P042
B370365,20240317,20250304,80.663,002,003,002,003,419.807,2024,2116.773,X,X,170.422,69.669,382.05,1942.128,002,002,2024,11,V000678,100,699076665047627372,K,P015
B532848,20241219,20240425,124.879,003,003,003,001,248.668,2026,2431.281,"","",232.963,106.924,222.234,2093.902,001,001,2023,08,V000945,100,241020268739589473,O,P004
B945248,20240912,20230906,25.975,001,003,001,002,150.952,2022,1981.892,"","",129.182,23.635,141.361,1808.532,001,001,2024,05,V000545,100,809859868979895347,O,P033
B180073,20251123,20231119,63.171,002,003,003,003,224.675,2022,1951.244,X,X,190.92,50.81,181.771,1673.819,002,003,2025,04,V000916,100,227806652039497222,O,P046
B409101,20240728,20250311,129.424,001,003,001,002,397.459,2023,2289.977,X,X,404.153,103.841,331.07,1976.472,001,003,2023,12,V000229,100,819103272572499835,K,P037
B209178,20240407,20240505,192.023,003,003,002,003,565.256,2024,3226.048,X,"",359.4,177.243,497.583,2899.763,002,003,2025,12,V000380,100,441697578658300689,"",P049
B365968,20231229,20250221,55.471,001,003,003,003,556.408,2025,3463.985,X,X,226.296,52.143,494.038,2782.358,003,001,2023,09,V000301,100,711708406302747969,K,P038
B917279,20240214,20241224,119.511,003,003,001,002,406.199,2026,2060.543,"",X,284.106,95.86,356.095,1808.399,002,001,2024,06,V000582,100,869404416416647604,K,P017
B209683,20250916,20241003,10.814,003,001,001,002,48.833,2025,334.983,X,"",40.096,9.216,40.288,287.817,001,003,2026,05,V000516,100,685842922012743031,K,P020
B236152,20230519,20250405,150.689,003,003,002,001,895.557,2026,4920.539,X,X,409.77,130.935,797.166,4571.907,002,001,2023,12,V000891,100,132962543196225856,K,P031
B734756,20250816,20260209,187.862,003,001,003,001,319.768,2023,2375.307,X,X,363.413,172.195,301.14,1983.516,002,001,2024,06,V000353,100,632848298775267191,K,P026
B190643,20240118,20240121,171.241,002,003,001,003,147.808,2023,2926.173,"","",564.03,146.151,124.73,2370.964,001,002,2024,08,V000998,100,679338867006071892,O,P008
B552197,20231205,20240924,194.702,002,001,002,002,461.366,2022,2429.407,"",X,329.856,159.146,430.677,2253.957,001,002,2026,10,V000367,100,760951784967210130,"",P010
B408970,20250415,20250320,35.649,003,001,003,003,335.244,2022,2724.188,X,X,235.615,28.879,304.962,2480.655,003,002,2026,11,V000268,100,670664905893201323,O,P047
B387053,20240702,20240116,3.812,002,003,001,001,10.507,2022,106.839,"",X,11.747,3.133,9.187,91.066,003,002,2024,12,V000484,100,183622423595181681,"",P036
B388839,20251027,20250224,243.557,002,003,003,003,257.239,2026,3410.461,X,X,265.897,223.168,211.137,2991.462,002,003,2025,08,V000176,100,427156235102664528,K,P013
B942430,20250905,20250408,74.242,002,002,003,003,629.249,2025,4163.683,X,X,699.403,65.683,588.601,3614.989,001,002,2023,05,V000300,100,459446450350027453,"",P046
B651188,20250202,20231020,91.863,001,003,002,003,207.302,2022,2112.202,X,X,138.119,82.811,180.465,1879.29,003,001,2026,11,V000702,100,198210067887597956,O,P031
B769370,20231117,20250702,195.891,002,003,002,003,829.247,2022,4234.149,"",X,783.599,157.707,722.749,3689.743,002,002,2022,08,V000921,100,324654228982639009,K,P037
B868381,20240326,20241227,31.02,003,001,002,003,172.952,2026,925.021,"",X,127.079,25.397,145.451,781.327,002,002,2024,01,V000327,100,843812357482591974,K,P014
B130313,20241024,20241217,58.617,001,003,003,002,193.58,2026,2719.036,X,"",438.402,53.322,180.504,2256.141,002,001,2024,01,V000478,100,832274284459619349,K,P005
