AENAM,CEINM,CHARG,CHDLL,CHJIN,CHRUE,CINSM,CLABS,CRETM,CSPEM,CUMLM,CVMEI,CVMIN,CVMLA,CVMRE,CVMSP,CVMUM,ERNAM,ERSDA,HERKL,KZICE,KZICL,KZICQ,KZICS,KZVCE,KZVCL,KZVCQ,KZVCS,LAEDA,LFGJA,LFMON,LGORT,LVORM,MANDT,MATNR,SPERC,WERKS
lancewright,238.673,B299770687,20240929,2026,X,458.183,4856.413,30.42,48.72,534.265,220.767,425.793,4306.208,26.165,41.963,481.795,toddgreen,20251117,US,"","","","","","","","",20231125,2023,06,S091,"",100,686944372464149777,X,P030
qwhite,135.618,B736333775,20250625,2026,"",261.62,2897.59,32.86,109.378,457.008,128.339,241.834,2707.862,30.923,98.733,379.003,jhodges,20250114,CN,"","","","","","","","",20240819,2023,09,S088,"",100,102079014653263829,X,P031
averyjulie,115.151,B394098966,20241202,2023,X,274.593,3895.279,56.791,169.147,432.902,104.056,241.61,3607.643,50.829,144.866,400.623,louiscallaha,20250421,DE,"","","","","","","","",20241126,2026,06,S086,"",100,767782545857621836,X,P027
englishcassi,127.518,B105644681,20251127,2025,"",152.564,4544.293,39.702,68.54,232.796,112.869,143.333,3985.275,33.578,60.726,190.157,castanedapat,20231112,IN,"","","","","","","","",20231107,2026,09,S034,"",100,886321533999565478,"",P003
blairtracy,42.019,B265023102,20240105,2023,"",276.62,3518.917,67.122,84.209,522.364,35.913,227.841,3338.502,62.611,68.859,433.835,normalopez,20231122,DE,"","","","","","","","",20240321,2022,06,S087,"",100,495810930082279969,X,P043
susankoch,124.277,B750839154,20240307,2023,X,214.159,4998.17,47.366,247.234,751.409,108.093,177.051,4365.489,38.373,201.129,666.033,brian68,20250204,IN,"","","","","","","","",20230728,2024,06,S056,"",100,331246897593989015,X,P028
dmarquez,143.563,B268556467,20250504,2023,X,174.699,4603.231,66.76,149.816,837.922,130.465,142.562,4004.091,59.423,122.726,718.525,reillyelizab,20231125,DE,"","","","","","","","",20230725,2026,01,S075,"",100,714718519324998403,X,P028
wcardenas,51.824,B618185049,20250413,2026,"",89.163,1362.128,7.447,16.473,193.68,42.282,74.236,1224.478,6.229,15.122,178.454,wendyfoster,20241122,CN,"","","","","","","","",20230814,2025,09,S099,"",100,140893251078728560,"",P001
caseythompso,10.786,B512835691,20260201,2026,X,18.523,235.349,2.46,3.362,22.432,9.631,17.172,210.803,2.31,2.705,20.716,justinhayes,20251206,US,"","","","","","","","",20250422,2024,10,S055,"",100,405636443376468077,"",P012
michael35,33.046,B104821533,20230616,2025,"",32.813,1479.62,11.508,36.288,107.984,29.848,29.892,1378.164,9.868,32.026,90.416,lthompson,20240202,IN,"","","","","","","","",20250102,2022,12,S019,"",100,895846323304727683,"",P004
johnnybeasle,2.03,B981186470,20241126,2026,X,5.247,56.669,0.667,1.975,7.654,1.789,4.945,50.141,0.56,1.817,6.662,johnsonvicki,20230908,CN,"","","","","","","","",20250615,2026,08,S067,"",100,415975272131738482,"",P019
ashley23,160.57,B249083466,20240702,2024,"",149.976,4370.327,40.713,164.869,843.38,149.068,138.883,4114.544,37.135,143.881,725.327,smithtiffany,20241117,US,"","","","","","","","",20240503,2026,11,S092,"",100,812922479589449470,X,P004
sfoster,2.351,B454015810,20251216,2026,X,5.593,112.478,0.568,4.859,11.822,2.072,5.159,103.86,0.536,3.998,10.543,watsonkimber,20250719,US,"","","","","","","","",20250518,2022,10,S015,"",100,469552441053079422,X,P046
nathanparson,143.969,B169126385,20240326,2024,X,287.064,4069.598,34.738,94.813,298.494,125.641,252.984,3543.388,32.117,80.48,269.282,katherinephi,20230821,US,"","","","","","","","",20240412,2025,03,S050,"",100,882611996392610598,"",P013
angela14,109.381,B661920937,20251003,2025,"",297.722,4826.36,92.727,71.292,846.498,94.269,251.587,4626.244,81.181,63.296,733.636,kjones,20251001,CN,"","","","","","","","",20251208,2025,06,S028,"",100,152106593267579639,"",P008
jeffreypalme,56.782,B311356763,20260104,2022,"",56.3,2000.31,24.827,47.364,134.864,47.843,49.66,1954.053,22.112,41.372,117.248,holly93,20251026,CN,"","","","","","","","",20250428,2024,06,S083,"",100,530391639747290328,X,P024
mirandagordo,70.311,B850839823,20251209,2022,"",299.174,3515.268,68.888,75.019,492.79,62.826,273.942,3171.309,58.601,63.284,436.52,gsmith,20250906,IN,"","","","","","","","",20250621,2023,02,S046,"",100,548185802785519985,X,P007
oscar37,98.74,B821069511,20241024,2026,X,207.253,2097.205,33.078,42.192,383.741,91.559,172.916,1879.891,29.689,39.528,311.732,saunderskare,20240512,CN,"","","","","","","","",20230521,2024,09,S004,"",100,379674061013461309,"",P001
david06,4.185,B286095655,20240923,2023,X,9.934,174.949,1.199,3.609,28.868,3.357,8.167,165.397,1.07,3.333,24.261,mscott,20230928,IN,"","","","","","","","",20241205,2026,07,S093,"",100,567974179557899393,"",P003
wsimpson,160.613,B254239688,20250705,2022,X,96.781,4172.572,38.177,124.318,811.079,148.13,81.706,3551.665,35.741,100.894,748.851,shepardrandy,20251019,DE,"","","","","","","","",20241215,2023,09,S025,"",100,920563006409860374,"",P012
schroederkev,29.9,B529750857,20240111,2024,"",92.405,1261.685,12.411,60.345,211.71,26.056,85.03,1214.395,10.119,56.716,199.417,andrewsranda,20240720,IN,"","","","","","","","",20250717,2023,07,S084,"",100,289309380199100329,"",P037
kmurray,39.945,B802944162,20241123,2026,"",59.307,1777.345,33.173,46.793,184.279,36.689,51.813,1640.891,28.103,42.973,149.682,xpatterson,20250825,IN,"","","","","","","","",20240114,2026,12,S087,"",100,652605577898847095,"",P012
adamsmichael,16.734,B835453790,20250415,2022,X,44.667,891.295,10.298,20.296,155.351,13.983,39.558,828.22,9.207,16.392,126.102,codyhumphrey,20230716,DE,"","","","","","","","",20231016,2025,12,S093,"",100,794781308036003269,X,P041
tanyasalas,49.767,B185263716,20240719,2025,X,150.538,2536.027,14.619,110.444,147.16,40.523,139.616,2427.85,11.902,96.188,128.881,jose15,20230623,DE,"","","","","","","","",20260122,2024,01,S062,"",100,662378131361126841,X,P031
omiller,107.614,B312562715,20230621,2022,X,290.222,4332.404,74.613,180.176,304.826,97.95,262.374,3849.404,64.779,144.912,257.511,blankenshipj,20260101,US,"","","","","","","","",20230721,2025,08,S051,"",100,508263502125172888,"",P001
thompsonkare,44.25,B294429664,20230616,2025,X,44.254,1810.991,28.984,49.261,348.613,40.76,36.869,1546.594,26.951,42.607,303.718,holtangela,20251124,DE,"","","","","","","","",20240608,2022,12,S022,"",100,385735579275304162,"",P039
scott90,32.137,B488817575,20240611,2024,X,98.554,3037.55,52.62,145.418,419.173,28.348,87.226,2801.152,44.866,130.722,339.561,mrivera,20250210,IN,"","","","","","","","",20241111,2026,10,S057,"",100,974462474551881932,X,P014
christopher2,2.719,B886430298,20241221,2022,X,2.94,139.691,2.195,1.58,14.238,2.252,2.373,136.184,1.998,1.281,12.314,livingstonpe,20240310,IN,"","","","","","","","",20240424,2022,11,S033,"",100,209242404530959336,X,P003
jonathandyer,78.423,B935851334,20231219,2026,"",93.459,1784.304,9.947,62.471,170.041,63.697,78.38,1593.46,8.332,57.874,145.395,richardparso,20250921,US,"","","","","","","","",20251022,2023,12,S082,"",100,663967218660397547,X,P027
teresataylor,140.018,B478290466,20240719,2025,"",261.136,2997.251,46.06,41.82,473.39,114.441,211.782,2753.698,40.343,36.652,422.782,jenniferlitt,20240505,IN,"","","","","","","","",20231031,2024,01,S039,"",100,721706807892934572,X,P001
wweeks,44.923,B340866021,20240829,2023,"",74.752,2841.148,41.856,68.733,332.738,36.239,69.779,2426.02,36.762,58.994,297.626,rmeyer,20250324,IN,"","","","","","","","",20241006,2023,01,S064,"",100,995429215544125457,X,P020
jennifer85,89.161,B259743428,20250113,2022,X,131.55,2071.21,32.948,50.061,177.297,80.186,115.743,1816.037,29.755,44.544,161.628,bwilson,20240313,US,"","","","","","","","",20230816,2022,07,S098,"",100,980298404576184888,X,P036
thomas64,57.498,B995377759,20240319,2024,"",75.073,1880.126,26.171,23.939,297.565,46.949,69.782,1821.677,20.94,21.455,280.227,zdelacruz,20241024,IN,"","","","","","","","",20240929,2022,10,S004,"",100,560077770085303250,X,P008
debraschmidt,134.217,B550737150,20230622,2026,X,185.16,3395.002,20.108,73.729,265.003,112.389,173.502,3294.806,16.783,62.008,212.358,gonzalesrich,20250611,DE,"","","","","","","","",20230709,2023,08,S082,"",100,813367017036781110,"",P034
cstevens,73.694,B413756214,20240802,2023,X,122.178,1491.001,18.769,28.702,202.186,67.963,99.19,1313.999,16.047,24.244,163.297,mcox,20250523,IN,"","","","","","","","",20241119,2026,11,S029,"",100,902771052825014475,X,P014
astokes,32.365,B981387811,20251229,2023,X,60.77,1647.125,16.619,18.162,301.431,27.467,52.234,1542.475,13.474,17.101,245.655,pamela46,20241207,US,"","","","","","","","",20250420,2026,01,S091,"",100,632614686953420553,"",P010
jenniferschn,30.762,B410481885,20240821,2025,X,159.028,2146.447,29.553,103.829,118.057,28.424,131.805,1974.803,27.06,88.11,107.299,michealdomin,20240109,CN,"","","","","","","","",20240119,2026,04,S072,"",100,866272146059695190,X,P009
flewis,136.939,B978058829,20250626,2023,X,174.574,3095.056,26.715,78.941,405.092,109.683,155.063,2668.055,24.516,64.466,349.366,emilypatel,20250118,DE,"","","","","","","","",20250828,2026,01,S074,"",100,294934532076263981,X,P019
smithchristi,5.739,B924734919,20230727,2024,X,13.034,186.436,3.021,3.515,16.484,5.254,11.546,175.623,2.853,3.232,14.516,zcurry,20250522,IN,"","","","","","","","",20251217,2025,02,S029,"",100,428103342775995894,"",P040
darrell92,20.231,B257552937,20250110,2025,X,13.13,504.604,5.131,19.752,66.582,18.699,11.186,454.981,4.434,18.757,54.563,hoodjacqueli,20240911,DE,"","","","","","","","",20250523,2024,05,S061,"",100,660451679091639745,"",P002
bvargas,127.505,B925150499,20250511,2023,X,86.479,2647.013,17.795,52.761,405.592,109.009,72.215,2371.003,16.145,48.71,384.437,robertholmes,20240824,US,"","","","","","","","",20241109,2025,07,S092,"",100,941266666386493135,X,P010
dixonalejand,65.479,B599375804,20240704,2025,"",229.782,3384.339,54.122,151.508,485.84,55.603,218.201,3218.254,44.42,131.633,421.842,davidhurst,20241006,CN,"","","","","","","","",20240204,2024,01,S048,"",100,697447795701965526,"",P017
anthony75,74.067,B449370781,20250621,2022,X,182.417,4934.259,25.997,182.34,525.142,68.904,161.357,4395.682,24.087,150.827,442.095,stephaniepon,20240727,DE,"","","","","","","","",20250611,2025,01,S049,"",100,245909656987746784,X,P026
jamesgray,135.278,B256928938,20240128,2025,"",110.372,3647.492,59.558,181.745,518.545,127.738,103.868,3115.497,56.119,164.684,415.743,ginapowell,20250519,DE,"","","","","","","","",20231127,2023,02,S005,"",100,577782038315164308,X,P046
richardsonan,186.657,B837593369,20240424,2022,"",324.696,3823.668,35.467,184.068,724.522,165.36,292.673,3734.142,28.71,174.065,605.658,terrynixon,20230905,IN,"","","","","","","","",20240829,2023,08,S078,"",100,890187701851285100,"",P041
shawn76,125.355,B933071603,20250818,2022,X,177.253,3800.371,35.819,140.804,625.565,109.849,148.517,3421.005,31.305,131.889,503.506,gjames,20260102,DE,"","","","","","","","",20250608,2026,06,S025,"",100,929965422217594469,X,P022
kirkbass,27.224,B533107443,20250523,2026,X,64.549,755.232,14.988,14.208,118.305,22.443,52.49,686.403,13.937,12.314,111.195,williamgutie,20250610,US,"","","","","","","","",20230823,2026,03,S035,"",100,997364462295292959,"",P041
henry46,22.107,B616269034,20240126,2023,X,55.794,643.083,6.635,24.814,50.579,20.37,50.127,582.339,5.384,21.825,43.948,doneal,20251216,DE,"","","","","","","","",20240929,2024,10,S021,"",100,884338408051931489,"",P002
alexanderwil,27.479,B885564932,20240312,2026,X,64.193,834.147,6.47,18.339,117.204,26.002,55.117,811.531,5.594,15.595,100.26,davidayers,20240915,IN,"","","","","","","","",20230725,2022,04,S090,"",100,818193478679114917,"",P024
jeremy37,172.627,B663834249,20240623,2023,X,393.701,4254.261,48.813,187.826,291.179,159.17,361.495,3887.532,40.665,152.507,262.553,susan52,20250729,IN,"","","","","","","","",20251023,2022,04,S059,"",100,215456693062151047,"",P003
taylorrobert,173.64,B796416396,20231221,2024,"",158.839,4049.663,29.171,133.471,277.367,160.115,142.017,3512.291,25.718,107.21,259.457,stanley23,20251206,IN,"","","","","","","","",20250214,2026,06,S055,"",100,533349235925623338,X,P020
ztownsend,28.636,B995588846,20241213,2026,"",162.741,2347.69,14.703,81.173,365.123,23.174,143.872,2178.416,13.015,76.813,334.982,smithjohn,20231220,DE,"","","","","","","","",20241227,2023,04,S049,"",100,755714882842288269,"",P027
pcastro,117.02,B344190488,20250802,2024,X,338.684,3817.405,56.566,144.413,654.758,93.737,286.777,3729.756,48.389,131.6,536.971,andrea91,20241121,US,"","","","","","","","",20231002,2022,12,S033,"",100,764722197954910044,"",P024
ian60,53.074,B908316850,20230706,2024,"",355.991,4006.655,65.755,74.996,362.864,42.463,286.629,3564.764,62.236,62.057,318.253,lorrainekell,20231113,CN,"","","","","","","","",20231211,2026,05,S070,"",100,330056203162640943,"",P004
ppreston,14.547,B530228684,20260127,2022,X,46.167,548.179,7.246,11.024,52.805,12.846,41.738,530.488,6.677,8.918,46.275,owenskaren,20240717,DE,"","","","","","","","",20250209,2025,12,S082,"",100,200683064023660715,"",P004
anamata,10.718,B626561175,20240606,2022,X,63.176,777.021,7.605,35.553,103.524,9.898,51.251,666.57,7.022,31.863,82.865,ebowman,20240702,US,"","","","","","","","",20240303,2026,10,S014,"",100,328265424523240822,"",P019
curtis27,84.168,B309009999,20250219,2022,"",219.813,4461.226,48.08,101.111,503.981,74.873,178.14,3936.647,38.945,86.884,455.255,austinbeverl,20231213,US,"","","","","","","","",20240209,2026,05,S028,"",100,605086807856900465,X,P036
sheila33,140.279,B616470548,20231217,2023,X,273.576,4852.636,40.39,91.167,390.535,132.918,225.345,4128.332,36.174,86.361,321.863,amanda93,20230914,US,"","","","","","","","",20250314,2025,09,S021,"",100,962183212441207862,"",P038
hobbsandrew,47.887,B774157621,20250601,2025,"",90.871,1596.38,11.022,70.152,199.314,39.273,76.074,1548.464,9.315,61.748,161.029,rebecca03,20240116,DE,"","","","","","","","",20240521,2026,05,S033,"",100,225008482384490446,X,P025
andrew16,68.727,B312086571,20240104,2024,"",218.131,2853.876,30.628,30.887,214.14,55.181,206.807,2594.026,28.122,25.966,176.995,pwright,20250123,IN,"","","","","","","","",20251204,2026,08,S022,"",100,327719630573362321,"",P037
galexander,126.163,B557471496,20230823,2026,"",237.634,3146.316,28.778,138.473,575.706,118.36,200.162,3076.178,25.644,119.748,489.117,mcgrathantho,20250425,CN,"","","","","","","","",20240914,2023,10,S096,"",100,297673243172453434,X,P040
kelly78,79.815,B324606273,20250618,2026,"",123.897,2096.946,29.337,94.087,307.36,67.626,112.291,1963.299,23.776,88.81,255.832,michael21,20230924,IN,"","","","","","","","",20240820,2025,10,S086,"",100,619303241842390547,X,P011
jeremy72,40.741,B382009323,20260101,2023,X,299.671,3344.66,30.594,162.775,185.376,34.011,268.755,3274.912,27.064,144.499,156.886,gloverjohn,20240802,CN,"","","","","","","","",20230830,2023,03,S057,"",100,965599476255241300,X,P002
margaretsand,91.337,B406357713,20241204,2026,X,129.631,2220.778,37.73,27.284,127.307,74.51,118.692,2143.946,30.499,21.891,118.335,matthewrober,20250424,DE,"","","","","","","","",20241212,2025,07,S065,"",100,382903823097700323,"",P047
lauren43,104.2,B286425709,20240626,2022,"",243.514,3951.28,26.228,177.362,454.125,95.58,225.464,3586.234,23.2,154.278,393.538,brendaanders,20240823,US,"","","","","","","","",20250313,2024,07,S064,"",100,412466843736673484,X,P037
lisahughes,140.629,B225762683,20241121,2025,X,286.116,2923.435,29.423,59.084,382.912,122.421,236.85,2652.262,23.96,53.422,312.772,vmassey,20240729,CN,"","","","","","","","",20240707,2023,09,S030,"",100,103025811761942783,X,P035
benjaminlee,69.733,B439468986,20230626,2025,"",208.356,2622.428,37.084,79.672,231.129,63.252,172.006,2501.395,33.319,75.547,195.902,logan61,20230715,DE,"","","","","","","","",20240914,2023,05,S006,"",100,107899588326483425,X,P038
shawlaura,231.156,B744102099,20250315,2023,X,230.034,4957.087,29.228,158.778,603.619,207.938,216.889,4702.78,24.029,142.436,519.6,wallaceamand,20240603,IN,"","","","","","","","",20250210,2022,08,S004,"",100,110436443066568880,"",P007
danielwilson,107.128,B714752046,20250618,2022,X,253.013,3540.22,37.93,41.378,633.213,100.982,219.561,3300.78,31.266,35.484,587.174,claire71,20240621,DE,"","","","","","","","",20231119,2022,07,S012,"",100,302582478664740048,"",P001
hallsandy,35.345,B257863169,20240720,2025,"",48.267,1638.644,28.196,63.203,261.133,31.513,43.185,1467.527,26.622,59.957,210.646,david08,20240713,IN,"","","","","","","","",20250426,2026,12,S001,"",100,350816134049952252,X,P037
pgregory,25.473,B670013412,20240714,2022,X,113.533,2303.605,13.669,69.492,447.434,24.088,107.421,2038.669,11.698,59.255,384.311,frostamy,20240328,CN,"","","","","","","","",20241109,2026,10,S061,"",100,715818153396188297,"",P050
youngchristo,67.726,B407484850,20250609,2022,X,127.388,1517.349,19.113,45.543,156.041,54.596,110.784,1320.561,16.022,42.065,132.344,kenneth40,20240129,US,"","","","","","","","",20250708,2023,12,S044,"",100,475188132648239994,X,P014
craiglyons,31.721,B623702874,20230912,2022,"",105.433,1384.663,22.601,48.45,127.362,27.142,97.131,1339.813,19.093,38.816,120.6,sethjordan,20240728,DE,"","","","","","","","",20231211,2026,10,S058,"",100,408995600911025403,"",P026
michaelrusse,134.7,B888584602,20241113,2025,"",88.416,3397.817,61.857,93.729,335.08,127.012,75.804,3160.688,54.693,80.346,309.146,pbrown,20230815,CN,"","","","","","","","",20230625,2025,05,S072,"",100,874474388732868711,"",P038
elizabeth34,66.962,B161014237,20250126,2025,X,100.39,1546.983,19.555,68.1,226.047,63.062,93.839,1333.386,16.383,63.15,187.283,natasha35,20230719,DE,"","","","","","","","",20230918,2026,03,S002,"",100,238101074651243902,"",P003
ylucas,95.616,B571247421,20241210,2022,X,285.418,4703.256,62.79,87.017,330.961,84.444,237.514,4573.447,50.909,78.152,272.633,tyler55,20230825,IN,"","","","","","","","",20240811,2022,06,S002,"",100,263507127397395387,X,P023
kingjason,110.333,B775017043,20240226,2023,X,309.428,3935.539,40.561,179.945,391.119,97.192,270.499,3845.27,35.919,156.11,337.818,wjohnson,20260108,CN,"","","","","","","","",20240922,2023,11,S004,"",100,609001608649955177,"",P032
christinalit,128.932,B302261932,20240608,2023,X,402.285,4773.706,44.267,197.417,463.663,113.968,348.773,4648.322,38.431,168.246,410.176,shawn19,20230919,CN,"","","","","","","","",20250501,2022,12,S016,"",100,854140543992400495,X,P002
michael68,126.927,B184856128,20230802,2025,"",253.566,3175.162,32.627,112.808,346.79,117.888,238.512,2990.701,27.534,104.579,317.398,griffinstanl,20230522,CN,"","","","","","","","",20230720,2024,07,S053,"",100,273467450369520633,"",P014
eddierussell,18.844,B673087003,20260109,2024,"",71.806,1060.638,16.297,18.171,54.248,16.312,61.713,912.302,14.724,17.113,44.115,xbaker,20240410,US,"","","","","","","","",20231020,2026,05,S093,"",100,304613774161510885,"",P043
greenpaul,197.572,B956180743,20230630,2026,"",379.642,4839.333,45.543,163.208,656.897,182.599,353.839,4293.312,37.142,141.326,562.579,myerskyle,20251116,US,"","","","","","","","",20240704,2025,11,S054,"",100,846429016131722754,"",P038
john87,78.02,B429112274,20241204,2022,X,106.971,2456.347,34.893,34.615,275.956,70.848,92.804,2375.455,31.32,28.141,235.266,ksellers,20240924,CN,"","","","","","","","",20240723,2025,09,S084,"",100,666047333609791039,X,P007
robertwalton,15.464,B776747636,20250214,2025,X,34.884,393.783,6.322,9.608,44.872,14.643,29.574,348.6,5.784,8.274,36.249,george20,20230914,IN,"","","","","","","","",20260202,2025,06,S043,"",100,317212178619896919,"",P048
ufigueroa,11.428,B911771346,20230629,2023,X,24.531,302.937,3.29,9.339,33.753,9.736,23.184,275.642,2.998,7.885,30.332,karen12,20260210,US,"","","","","","","","",20250415,2025,06,S071,"",100,971151856779641306,X,P047
moralesmicha,3.755,B459564487,20240301,2026,X,5.605,93.155,1.245,1.128,8.007,3.187,5.191,88.345,1.052,1.031,6.875,gwoods,20250203,IN,"","","","","","","","",20250421,2023,08,S061,"",100,888431171340208241,"",P021
diananguyen,49.44,B419594103,20251122,2025,X,310.242,4770.891,40.805,63.751,336.887,39.934,257.397,4432.767,34.49,53.107,292.812,jacob95,20230823,CN,"","","","","","","","",20230708,2024,06,S053,"",100,945590623018475985,"",P035
olopez,46.371,B473500060,20231125,2024,X,197.749,4291.362,73.961,188.542,648.595,38.59,165.484,3752.145,62.054,168.597,551.33,christopher7,20250425,CN,"","","","","","","","",20250720,2024,12,S037,"",100,286871363986322338,"",P017
peter23,87.63,B307886056,20240327,2025,"",68.602,2032.725,33.3,79.214,390.126,74.342,59.115,1896.6,30.411,67.01,345.117,gdawson,20250203,IN,"","","","","","","","",20240430,2025,04,S062,"",100,418823082064590074,X,P009
richardssara,90.364,B433491475,20230927,2022,X,157.262,2325.659,24.211,39.886,233.52,79.556,138.899,2092.219,19.967,32.123,216.648,guerrarobert,20230731,DE,"","","","","","","","",20240708,2026,11,S063,"",100,706767100216463510,"",P003
nancy44,3.312,B457810023,20240325,2023,"",4.852,85.279,0.991,0.937,9.87,2.677,4.486,77.762,0.915,0.819,9.03,timothymille,20251203,DE,"","","","","","","","",20250629,2025,06,S081,"",100,731411408407344337,"",P039
hschultz,196.309,B836424406,20251009,2026,X,146.581,4900.025,43.257,121.504,924.69,178.017,136.794,4334.328,35.282,102.571,751.333,jordannathan,20260120,US,"","","","","","","","",20241105,2022,10,S088,"",100,740092158266693425,X,P043
michaelmille,25.172,B210434800,20240326,2025,"",45.802,1166.773,22.5,53.158,71.407,23.841,37.677,1023.475,20.213,50.199,67.234,amber61,20241012,US,"","","","","","","","",20231216,2026,01,S066,"",100,235657441627585575,"",P019
heidi49,8.039,B404414539,20250623,2024,X,32.491,412.305,4.729,14.404,69.355,7.133,27.004,399.016,3.99,12.337,57.519,timothy29,20230822,US,"","","","","","","","",20231025,2025,02,S022,"",100,618110015737897563,X,P031
christopher4,33.532,B539784581,20241102,2022,"",41.059,1455.404,21.871,61.239,283.202,30.653,38.584,1301.266,20.129,52.984,253.243,bvargas,20240216,IN,"","","","","","","","",20250113,2025,09,S025,"",100,956719125613892403,"",P012
james32,216.172,B444600014,20230712,2024,"",354.032,4981.947,46.539,174.553,550.949,176.699,298.952,4329.534,41.724,154.039,492.193,qmadden,20240729,CN,"","","","","","","","",20240303,2025,02,S036,"",100,514283164617265876,"",P018
mark06,49.768,B990212894,20230817,2023,X,105.95,1304.299,18.679,38.373,252.844,40.678,97.562,1178.656,16.256,35.47,229.056,solistonya,20231222,CN,"","","","","","","","",20251016,2023,08,S022,"",100,819875649768002192,"",P035
cannonrichar,26.744,B570735668,20250421,2026,"",33.714,993.5,12.909,28.97,76.323,24.402,28.674,933.61,11.524,26.601,70.704,michele45,20241212,IN,"","","","","","","","",20250307,2022,05,S011,"",100,243483654047032524,X,P005
nguyenjennif,222.581,B968430602,20230908,2024,X,186.791,4507.869,65.304,45.89,577.855,190.412,171.547,4330.069,60.192,42.124,482.596,hdelacruz,20250307,IN,"","","","","","","","",20250119,2025,04,S009,"",100,866854086913093979,"",P007
marycabrera,175.193,B523877253,20250226,2024,"",298.577,3883.313,29.369,112.507,771.33,159.511,253.736,3579.691,26.851,92.092,712.365,hayeschristo,20241207,CN,"","","","","","","","",20240128,2022,05,S059,"",100,267904412618997045,"",P026
moliver,95.942,B767101598,20250608,2023,X,357.344,4968.848,42.322,180.159,510.345,89.173,332.568,4761.242,36.327,169.05,421.4,lynchryan,20240228,CN,"","","","","","","","",20250617,2025,07,S095,"",100,681358227463898205,"",P010
iharris,210.096,B208798504,20230808,2022,"",410.803,4829.131,27.016,75.077,766.496,170.676,382.48,4389.791,24.575,67.165,675.19,anthonyhowar,20231107,DE,"","","","","","","","",20250713,2026,02,S039,"",100,550001135024679995,X,P023
melanieausti,106.735,B482234374,20251210,2026,X,97.104,2390.894,17.384,39.772,423.582,87.315,92.039,2180.437,15.37,35.457,367.672,awhite,20240419,DE,"","","","","","","","",20250911,2025,01,S070,"",100,624815102234891859,X,P019
ndelgado,98.283,B780134928,20240917,2025,"",73.211,2848.489,55.291,66.759,223.912,86.146,63.681,2754.995,48.426,55.345,187.516,agarcia,20240729,CN,"","","","","","","","",20251210,2026,03,S077,"",100,668267747950316229,X,P020
brownethan,79.221,B799336208,20250915,2022,X,88.673,1918.579,35.178,48.959,157.849,74.096,72.559,1739.151,28.839,40.204,143.641,rodney64,20231013,IN,"","","","","","","","",20250703,2023,03,S014,"",100,412861465577739857,"",P015
waltonkeith,31.704,B556443328,20251027,2024,X,43.657,1694.422,16.12,70.856,229.465,29.5,38.114,1624.84,13.317,63.261,195.114,mary38,20230619,CN,"","","","","","","","",20250622,2024,02,S055,"",100,724204149986181513,"",P044
aaron68,44.108,B173963158,20240222,2023,"",66.618,1195.325,16.278,35.645,205.658,38.449,60.079,1119.154,13.922,32.589,167.138,mccallmoniqu,20250427,DE,"","","","","","","","",20250721,2024,12,S014,"",100,440556208249542662,"",P002
cdavid,4.212,B175999960,20240324,2025,X,6.587,183.059,1.811,7.771,26.438,3.827,6.048,176.301,1.577,7.1,23.123,deanmoore,20240417,DE,"","","","","","","","",20250812,2022,01,S074,"",100,826846797526613466,X,P050
cdominguez,29.089,B232220631,20250213,2023,"",50.889,727.008,9.884,17.619,38.907,26.337,41.801,643.42,9.056,14.742,33.806,zyoung,20241110,US,"","","","","","","","",20250202,2023,02,S076,"",100,827176732572904420,X,P029
rodriguezsea,47.726,B519261819,20241110,2022,"",89.651,1084.238,8.307,40.147,72.976,38.478,72.087,929.49,7.087,33.577,63.398,jallison,20250210,US,"","","","","","","","",20230921,2023,01,S019,"",100,631880625854853596,"",P038
rodriguezgin,21.615,B287416147,20240227,2025,X,66.002,2012.889,14.129,36.218,236.401,19.205,56.999,1874.202,11.579,32.548,215.062,todd30,20240520,IN,"","","","","","","","",20250712,2026,01,S038,"",100,711586674295568965,"",P029
staceygrant,79.777,B991212417,20240608,2025,X,253.85,2657.335,32.857,108.945,511.123,67.314,216.301,2505.176,27.242,95.002,427.469,lisa94,20250923,DE,"","","","","","","","",20260122,2022,10,S081,"",100,217389343390065664,"",P048
amy67,11.818,B574592126,20250812,2022,"",12.728,584.708,8.06,10.823,108.292,10.971,10.601,525.389,7.285,9.455,90.633,lindseybisho,20250624,CN,"","","","","","","","",20260125,2023,12,S089,"",100,876070956093423322,X,P005
phiggins,52.936,B785846416,20240306,2024,X,197.977,4267.884,39.481,208.652,393.585,46.353,185.218,3756.324,32.802,174.704,316.02,brooke35,20240131,IN,"","","","","","","","",20230519,2022,04,S012,"",100,309344012522204818,"",P025
pittstracy,64.924,B320759217,20251218,2023,X,82.738,3385.113,65.266,167.667,290.966,56.062,77.589,3257.983,57.221,151.253,270.513,joelsmith,20251110,DE,"","","","","","","","",20251210,2023,07,S020,"",100,500557658934003590,X,P050
bill06,128.758,B844123276,20250328,2022,"",360.714,4677.568,61.007,174.189,405.151,105.038,341.365,4052.11,50.806,162.959,383.246,dsanders,20260121,IN,"","","","","","","","",20250211,2026,04,S083,"",100,172505728345520176,X,P010
lucerosuzann,201.809,B254413905,20250318,2024,X,217.587,4094.554,32.321,89.723,381.374,190.156,197.423,3618.785,26.965,72.808,336.844,waterspenny,20250726,US,"","","","","","","","",20230802,2023,06,S087,"",100,532489634115305529,X,P045
