AUSME,AUSSS,BESKZ,BSTMA,BSTMI,BWTTY,DISGR,DISMM,DISPO,DISPR,EISBE,EISLO,EKGRP,HERKL,KAUTB,KORDB,KZKRI,LAGPR,LFGJA,LFMON,LGPRO,LOSFX,LVORM,MAABC,MABST,MANDT,MATNR,MINBE,MMSTA,MMSTD,MTVER,PERKZ,PLIFZ,PRCTR,PSTAT,SERNP,STAWN,TARGET_STOCK,TRAME,VINT1,VINT2,VRMOD,WEBAZ,WERKS,XCHAR,XMCNG
KG,3.05,E,1685.91,356.88,X,G12,VB,257,4292,159.438,135.071,025,IN,X,"","",1,2026,05,S040,88.88,"",C,1685.91,100,827417644482668237,356.88,01,20230604,M003,M,20,8096409453,K,S206,98799511992801477,151.025,77.109,008,015,1,1,P044,X,""
L,3.74,X,1213.546,498.172,"",G16,ND,150,5311,247.883,71.333,089,CN,"","","",1,2026,03,S016,192.55,"",A,1213.546,100,948184278535888185,498.172,02,20240617,M005,M,37,8498506433,K,S732,48704886728906149,311.383,76.19,016,030,1,5,P012,"",X
EA,1.98,X,1040.82,337.664,X,G14,VB,609,9027,79.366,30.368,085,DE,"","","",1,2024,02,S002,124.77,"",A,1040.82,100,349740692302656312,337.664,03,20220314,M012,M,59,4722646353,K,S234,23851701325996776,309.042,4.557,028,007,2,9,P032,X,X
EA,2.06,F,1051.695,212.489,"",G10,VB,348,1287,68.955,54.469,085,IN,"",X,"",1,2022,05,S046,60.74,"",B,1051.695,100,330056203162640943,212.489,03,20241106,M002,D,37,8199579643,K,S716,56123904153295231,176.847,95.625,024,002,2,10,P033,X,""
M,2.48,X,194.686,56.764,X,G20,ND,134,6836,16.69,96.21,046,DE,X,X,"",3,2023,08,S030,122.9,"",C,194.686,100,454616377513832450,56.764,03,20231105,M014,D,21,1614856865,K,S218,97872658091166552,63.375,34.324,022,028,2,7,P005,"",X
KG,2.43,X,633.082,228.116,X,G15,ND,913,9606,70.377,70.785,023,DE,X,"",X,3,2024,06,S020,70.76,"",A,633.082,100,280386974241616723,228.116,03,20250918,M012,D,10,5703024704,K,S909,58308903255003217,130.016,18.4,011,006,1,6,P002,X,X
M,4.53,F,1258.162,306.829,X,G02,PD,893,6154,73.552,186.411,054,CN,"","",X,3,2024,07,S049,11.81,"",C,1258.162,100,245769593827514754,306.829,01,20241211,M020,M,36,2812938961,K,S804,50498647503451996,180.605,77.283,019,023,2,9,P030,"",X
EA,3.03,E,966.23,196.277,X,G06,PD,106,7512,61.205,36.206,099,CN,"","",X,2,2022,03,S003,43.18,"",A,966.23,100,304226117093697822,196.277,01,20220509,M012,W,54,6058358181,K,S352,44283802608915854,302.411,56.281,030,000,1,1,P032,X,""
M,2.43,E,72.072,25.504,X,G07,VB,368,1975,9.075,74.066,077,IN,X,"",X,3,2022,04,S042,161.59,"",C,72.072,100,536040508172851976,25.504,03,20240918,M007,M,31,5233462247,K,S263,82406701857449658,98.689,79.847,020,012,2,10,P050,"",""
EA,4.72,X,119.022,33.44,X,G07,VB,938,3812,7.983,85.882,021,US,X,X,"",3,2025,11,S030,29.48,"",A,119.022,100,951727524778060223,33.44,03,20260128,M011,D,25,7304115083,K,S836,74538390115120221,246.351,83.824,024,019,1,3,P026,X,""
L,1.05,F,956.267,232.848,X,G05,ND,513,2376,73.8,67.897,014,IN,"","",X,1,2022,11,S020,53.54,"",A,956.267,100,514217022469360201,232.848,02,20241222,M012,M,9,8301150133,K,S251,24577535155241228,398.284,37.19,014,028,2,6,P042,"",X
L,0.91,F,791.11,202.823,X,G15,VB,458,9415,57.542,41.148,092,DE,"","",X,2,2026,09,S049,123.54,"",C,791.11,100,656076076701723659,202.823,01,20240613,M002,W,9,3964035111,K,S412,13597731534022600,341.553,66.177,024,010,3,5,P036,X,""
M,4.47,E,1998.96,442.011,X,G05,PD,250,7445,97.714,112.556,022,IN,X,X,X,2,2024,07,S020,60.46,"",B,1998.96,100,544852454522298039,442.011,03,20250127,M020,M,14,8262265184,K,S739,58563674038986560,482.61,47.686,001,027,2,1,P013,X,""
M,2.76,F,1337.604,332.959,X,G19,PD,899,7544,86.775,184.865,034,CN,X,"",X,3,2025,05,S029,178.59,"",C,1337.604,100,721785485725521871,332.959,03,20231218,M015,D,15,6087222891,K,S797,65572250694340370,355.563,18.415,002,001,2,8,P041,"",""
KG,4.52,X,1167.292,343.742,"",G17,ND,990,3096,103.859,19.029,042,US,"","",X,1,2026,08,S026,179.66,"",A,1167.292,100,441467433075182358,343.742,03,20230528,M015,M,7,2787514594,K,S254,39782312375930483,439.959,96.938,026,030,2,3,P007,X,""
KG,0.85,F,917.543,377.113,X,G20,ND,599,8603,148.352,23.358,064,CN,X,"",X,3,2025,04,S013,168.66,"",B,917.543,100,900973043825908034,377.113,03,20241013,M001,D,14,1282639765,K,S536,57120559518813152,269.229,73.21,006,020,3,2,P021,X,X
L,3.4,E,908.685,427.457,"",G10,PD,244,6656,152.61,110.996,099,CN,"","","",3,2025,03,S014,95.34,"",A,908.685,100,160621523187627261,427.457,03,20231020,M020,W,54,7697452084,K,S187,60360204125652537,362.384,34.795,026,007,1,10,P001,"",X
EA,3.76,F,664.3,199.469,"",G04,VB,991,9629,50.299,33.068,046,IN,X,"",X,2,2022,09,S024,15.32,"",B,664.3,100,331615609249014954,199.469,01,20230302,M018,M,33,3103415679,K,S509,91733225333159953,293.577,57.595,027,010,3,6,P049,X,X
EA,4.2,F,706.599,176.034,X,G16,ND,966,2240,80.014,169.082,066,CN,X,"","",2,2026,12,S010,196.87,"",A,706.599,100,132605732502269261,176.034,02,20240211,M020,M,38,6834849807,K,S679,81758693767459333,190.155,63.76,025,024,2,3,P023,X,""
L,3.2,E,293.545,105.576,"",G14,VB,626,9285,33.569,142.643,042,IN,"",X,X,2,2024,10,S038,161.1,"",B,293.545,100,140296273947473684,105.576,01,20240608,M015,D,38,7118743619,K,S412,90211429213237491,132.201,98.676,027,001,1,4,P012,"",X
M,1.94,X,1065.284,231.924,X,G07,ND,554,9736,62.168,51.321,083,US,"","","",1,2024,10,S034,146.71,"",B,1065.284,100,242513129388356356,231.924,01,20260207,M001,M,29,8851854565,K,S524,43314219359797047,372.789,26.354,029,000,3,2,P028,X,""
M,1.45,E,317.702,100.631,"",G02,ND,521,3386,37.815,149.051,041,IN,"","",X,1,2023,03,S049,166.54,"",B,317.702,100,684034350441874098,100.631,01,20220808,M019,D,28,2898220221,K,S876,51004378209301881,461.896,96.7,016,027,1,5,P049,X,""
EA,0.22,F,974.862,289.399,X,G05,ND,966,6772,108.739,13.867,088,CN,"",X,"",3,2025,05,S005,163.32,"",B,974.862,100,636740978156997804,289.399,03,20230513,M009,M,21,4466815196,K,S764,47190305213306461,172.141,66.863,026,027,1,9,P021,"",""
EA,4.62,F,629.871,312.95,"",G04,VB,774,8184,101.705,33.654,011,US,"","","",3,2026,05,S014,73.71,"",B,629.871,100,957290989737533176,312.95,02,20250403,M007,M,22,2517046075,K,S728,69670894834719317,453.648,78.387,004,026,3,10,P018,X,X
EA,4.88,F,1534.26,358.125,"",G10,PD,487,1084,94.917,29.811,077,IN,X,X,"",3,2022,08,S047,11.61,"",B,1534.26,100,246840967861622503,358.125,02,20251018,M015,M,30,5516075767,K,S725,46487655040845008,417.537,97.488,029,021,3,4,P019,X,X
M,2.6,F,57.929,20.636,X,G18,PD,983,1580,7.851,34.785,007,CN,X,X,X,3,2025,12,S039,82.33,"",B,57.929,100,158934564590275459,20.636,03,20240203,M001,D,45,6471002930,K,S144,50495366691473511,424.19,40.162,001,024,3,7,P006,X,""
EA,3.86,F,364.799,73.371,X,G04,PD,942,4111,16.229,90.343,099,IN,"","",X,1,2025,01,S047,81.81,"",B,364.799,100,835484545503271503,73.371,03,20230411,M019,M,25,8908012996,K,S829,79779780713598293,113.928,56.587,015,028,2,4,P008,"",""
KG,4.98,E,325.835,155.99,"",G16,ND,628,1594,37.605,133.435,091,DE,"",X,X,3,2026,11,S050,10.37,"",A,325.835,100,288570659676091287,155.99,01,20230203,M018,M,21,6612798974,K,S788,78154356584062586,393.728,5.767,003,030,2,1,P027,"",""
M,0.43,X,944.522,206.165,X,G17,ND,360,7607,101.128,55.773,066,DE,X,X,"",1,2026,08,S049,27.22,"",A,944.522,100,237926095053416495,206.165,03,20220717,M016,W,14,5021598389,K,S227,98844844618584755,87.141,14.23,005,028,3,4,P009,"",X
EA,1.45,F,575.077,116.501,X,G11,ND,159,2270,51.362,140.145,041,IN,X,X,X,1,2024,07,S006,35.63,"",C,575.077,100,564179741191976834,116.501,03,20250204,M008,D,31,4591022601,K,S513,92507932075410979,392.98,34.384,024,014,1,3,P002,X,X
EA,2.2,X,256.844,123.276,X,G17,PD,387,5941,44.933,138.91,047,IN,"","",X,3,2026,07,S048,166.23,"",C,256.844,100,238152724616159153,123.276,02,20221220,M019,D,27,8667734447,K,S262,96925108423665018,189.775,58.682,006,006,3,5,P026,X,""
L,2.72,F,151.141,71.749,"",G08,VB,306,7039,20.221,23.719,038,DE,"","","",1,2023,08,S046,142.06,"",A,151.141,100,620968763596318953,71.749,02,20240208,M006,M,18,3584684865,K,S865,79746607088043697,441.915,72.583,015,028,2,4,P048,"",X
EA,4.05,F,851.223,226.393,"",G01,VB,520,5256,57.137,93.437,096,US,"",X,X,3,2023,02,S006,99.3,"",C,851.223,100,738272299760351039,226.393,03,20230621,M012,D,48,3790067620,K,S798,58491825170605208,274.787,70.609,018,014,1,6,P037,"",""
EA,1.4,F,119.289,37.927,X,G06,ND,789,6740,13.811,195.615,082,DE,"",X,X,1,2025,12,S008,152.09,"",B,119.289,100,160255306437013260,37.927,03,20230912,M018,M,12,6003492900,K,S468,35495246379774244,82.213,58.842,011,028,2,8,P011,X,""
M,0.28,E,971.384,239.333,X,G19,VB,874,5612,87.287,137.828,004,US,"",X,X,1,2024,10,S016,77.0,"",C,971.384,100,689000034404292553,239.333,02,20250321,M009,D,55,6443684243,K,S232,36082963404191554,238.305,54.321,023,026,2,3,P016,X,""
KG,3.52,F,1196.539,266.728,X,G12,PD,184,9231,60.524,53.617,006,IN,"","","",3,2022,04,S044,119.39,"",A,1196.539,100,810231875192556218,266.728,01,20250603,M020,W,23,6064009720,K,S176,40283592852700818,185.015,62.873,008,024,2,2,P043,"",X
M,3.51,X,203.533,55.04,X,G05,VB,108,7022,13.196,184.395,013,IN,"",X,X,1,2025,07,S044,10.15,"",B,203.533,100,993998447593434679,55.04,02,20250227,M010,W,15,4006218865,K,S912,67528819149365742,178.085,83.461,025,019,1,7,P001,"",X
L,4.53,E,2179.154,467.733,X,G15,ND,752,9412,185.425,199.172,066,DE,X,X,X,2,2026,05,S018,150.89,"",A,2179.154,100,575869624148900484,467.733,03,20240209,M009,M,16,7179127461,K,S584,57178981007316101,363.674,3.802,030,014,2,2,P014,X,X
L,3.56,X,1013.315,403.031,"",G17,PD,870,5512,153.518,183.683,061,CN,X,"","",2,2026,07,S042,168.09,"",A,1013.315,100,307059557410550444,403.031,01,20231004,M013,W,47,1118330966,K,S637,44473874997384272,148.64,69.343,012,016,1,4,P038,X,X
EA,4.84,E,1109.405,320.038,"",G09,PD,741,4891,66.931,97.391,070,IN,X,"","",1,2025,09,S033,91.68,"",B,1109.405,100,721001540298249238,320.038,01,20250906,M015,M,7,4199963149,K,S927,74148758808748500,472.17,19.289,008,004,3,10,P033,"",X
M,0.4,X,882.115,295.237,X,G11,PD,208,7551,72.378,10.628,010,IN,"","",X,1,2023,12,S012,80.23,"",C,882.115,100,615139739428711540,295.237,03,20240125,M005,W,2,6000316453,K,S199,23763190064353714,312.042,35.61,022,021,2,5,P045,X,X
KG,0.3,E,1105.9,310.201,"",G20,ND,273,2152,138.709,125.342,047,US,"","","",1,2023,03,S044,125.01,"",A,1105.9,100,308214992387459893,310.201,02,20251015,M012,D,38,7039271687,K,S262,11940990862974587,385.456,78.199,030,021,1,5,P041,X,""
M,2.7,X,934.398,372.173,"",G03,PD,673,8155,124.524,187.085,022,IN,"","",X,1,2026,11,S007,147.67,"",B,934.398,100,248413975184819094,372.173,01,20230405,M001,D,31,6014589821,K,S851,47345287964970503,228.971,86.538,027,016,1,8,P034,X,""
EA,2.88,X,1557.925,421.446,X,G06,PD,755,3907,196.471,35.059,012,IN,X,X,"",2,2022,10,S039,133.91,"",A,1557.925,100,531070682628528037,421.446,01,20240511,M007,D,27,1643946174,K,S592,91689848602933288,423.714,50.642,001,022,1,9,P031,X,X
KG,2.17,X,1052.894,280.257,"",G17,PD,749,7560,56.941,154.633,068,IN,"",X,X,1,2022,04,S027,131.08,"",A,1052.894,100,541748245504943008,280.257,03,20230712,M017,W,14,3587238120,K,S889,12684508757275549,152.307,25.703,022,024,2,6,P039,X,X
KG,3.53,F,218.755,100.637,"",G15,VB,424,2640,37.799,165.562,058,DE,"","",X,1,2024,04,S037,85.12,"",C,218.755,100,485449128539664874,100.637,01,20250728,M013,W,38,5975064058,K,S455,55653394789640734,102.545,53.488,023,017,3,9,P006,"",""
L,2.06,F,200.738,94.066,X,G10,ND,288,1956,25.128,7.283,084,DE,X,"",X,3,2026,12,S012,72.77,"",C,200.738,100,601920059206241891,94.066,02,20250611,M008,M,14,3059268602,K,S516,50126564091004746,248.59,47.581,024,013,3,10,P011,X,X
L,2.49,E,1079.802,401.165,"",G18,VB,268,8856,116.323,87.56,057,IN,"","",X,1,2023,10,S009,166.21,"",A,1079.802,100,746841397024672856,401.165,02,20230110,M018,D,9,4751380333,K,S610,64313611773536614,257.92,64.404,013,007,2,5,P046,"",X
KG,1.81,F,1668.401,360.748,"",G20,ND,897,8157,154.167,90.082,076,IN,X,X,X,1,2025,12,S021,155.92,"",B,1668.401,100,799275013680094387,360.748,01,20241019,M016,D,40,5807645893,K,S992,72099465763946061,63.769,36.093,012,030,1,10,P001,X,""
L,4.63,X,415.451,115.082,X,G03,VB,137,7073,37.854,72.061,003,US,X,X,"",1,2025,03,S022,153.38,"",B,415.451,100,195285159971626412,115.082,02,20251127,M011,W,48,7355972990,K,S839,82641643084204896,69.216,68.126,013,012,2,5,P042,"",X
L,1.58,E,550.649,272.363,X,G15,VB,724,9607,98.795,155.429,026,US,"",X,X,3,2025,08,S012,45.74,"",A,550.649,100,479691794421351960,272.363,03,20240123,M004,D,8,3374391224,K,S473,25593884349455649,244.041,68.135,028,006,1,7,P036,X,""
L,0.57,E,1761.163,392.327,X,G06,PD,747,4651,97.606,5.423,081,IN,"",X,"",2,2024,09,S034,54.08,"",C,1761.163,100,258839718880115901,392.327,02,20230212,M001,W,42,1993037686,K,S354,47450023285395713,245.646,28.034,004,008,3,10,P004,X,""
KG,1.78,F,1750.809,365.964,"",G04,ND,513,1869,110.112,99.152,068,DE,"",X,"",2,2023,09,S009,42.31,"",B,1750.809,100,991432946610433115,365.964,01,20250420,M017,W,54,5471263478,K,S108,53092212173113797,341.955,99.694,000,012,3,5,P005,X,X
EA,3.11,X,1854.64,456.221,X,G04,ND,815,5821,100.049,143.876,074,DE,"",X,"",1,2022,11,S038,32.81,"",A,1854.64,100,104971013068732910,456.221,03,20220129,M013,D,18,3091013756,K,S404,14376734000432880,487.083,88.646,015,021,1,10,P041,"",X
M,4.72,F,1177.032,290.93,"",G16,PD,432,3969,96.396,6.931,056,IN,X,"","",1,2022,09,S015,97.08,"",B,1177.032,100,561572228975801211,290.93,02,20240702,M009,M,25,9131205242,K,S250,40644443701711037,207.503,12.074,004,020,2,8,P044,"",""
KG,4.82,F,1057.462,467.304,X,G10,PD,553,7527,134.5,38.449,049,DE,X,"",X,3,2024,03,S005,98.62,"",B,1057.462,100,479751933960797335,467.304,01,20231012,M008,M,54,4239202291,K,S911,76268007482817873,91.839,11.701,023,006,1,4,P034,"",""
KG,4.62,F,93.135,45.714,"",G12,VB,195,6652,17.783,27.122,054,IN,"",X,"",2,2025,04,S044,140.57,"",B,93.135,100,817793531478690192,45.714,02,20250622,M013,W,45,3210257346,K,S109,58780795094417212,130.481,80.643,004,005,2,2,P034,X,""
KG,3.28,F,192.592,66.271,X,G05,VB,874,7301,27.372,196.295,016,US,"","","",3,2026,02,S008,147.58,"",C,192.592,100,312393300156459006,66.271,02,20250503,M013,W,30,1852135850,K,S294,11808363938323557,473.405,34.63,012,020,3,3,P030,"",""
KG,2.0,F,504.711,217.412,X,G03,VB,664,4982,43.851,113.502,080,US,"","","",1,2025,05,S024,67.04,"",C,504.711,100,953402960426580742,217.412,02,20230331,M017,D,19,2611010061,K,S566,47225701664598370,243.723,42.231,018,027,2,2,P035,"",""
M,4.21,X,748.435,281.71,"",G14,VB,174,8588,126.399,16.533,004,IN,"","",X,1,2022,03,S018,25.29,"",A,748.435,100,509373006765752970,281.71,01,20230318,M004,D,7,5124295522,K,S978,42693123601018749,363.111,33.903,014,015,3,5,P043,"",X
M,0.84,X,1258.119,299.953,X,G04,PD,430,5913,124.442,137.987,089,DE,X,X,"",2,2022,03,S010,84.6,"",C,1258.119,100,452940214998941390,299.953,02,20230306,M007,W,25,8601450036,K,S409,60709850617471228,329.707,78.312,020,016,2,6,P022,"",""
L,3.39,X,1474.561,316.37,X,G08,ND,968,1951,90.175,184.365,033,CN,"",X,X,2,2024,08,S024,42.44,"",C,1474.561,100,339372538726175471,316.37,02,20250811,M016,W,2,9889560774,K,S774,88460533317538999,249.757,66.956,005,024,2,9,P024,"",""
EA,4.57,F,292.109,123.523,X,G13,VB,200,4704,36.0,42.008,060,US,"","",X,3,2022,06,S024,101.56,"",A,292.109,100,769944262293283458,123.523,01,20220220,M018,W,16,9591453369,K,S643,15833434925195025,218.707,97.639,028,009,3,8,P048,"",""
EA,1.78,X,1973.53,441.334,X,G16,ND,135,1212,134.269,174.149,082,US,X,"",X,2,2024,07,S048,111.65,"",A,1973.53,100,641888161206415035,441.334,01,20220802,M020,M,34,5955135103,K,S559,89686875738308116,108.725,30.774,006,001,1,4,P017,"",""
L,3.85,F,1233.429,460.532,"",G19,ND,346,1827,139.212,88.807,068,US,X,X,"",3,2024,03,S013,90.92,"",C,1233.429,100,646161584254534013,460.532,03,20250820,M012,D,27,4019859770,K,S266,62151084272224279,269.136,63.328,027,003,2,2,P025,"",X
M,1.34,F,708.886,182.033,"",G19,VB,221,6140,53.272,194.275,095,US,"","","",3,2026,01,S033,83.77,"",A,708.886,100,279278145085908955,182.033,02,20231221,M018,M,21,4248277594,K,S792,83103038839718138,474.064,52.289,011,002,3,10,P034,X,X
L,1.58,F,1115.956,235.275,X,G02,PD,622,9129,104.354,100.044,089,CN,X,"",X,2,2022,04,S028,28.14,"",C,1115.956,100,289309380199100329,235.275,01,20260128,M020,M,43,9554529180,K,S757,68863276139238133,235.543,71.356,010,006,1,4,P024,"",X
L,4.42,F,1302.137,478.405,X,G08,ND,656,7117,130.932,189.473,013,CN,"",X,"",1,2024,07,S033,155.2,"",B,1302.137,100,613596986074448831,478.405,02,20231115,M001,M,42,6784429156,K,S309,66034561610609361,294.763,22.367,019,015,1,4,P043,"",X
EA,1.37,E,604.449,154.671,"",G07,ND,163,9313,46.489,79.404,095,DE,"","","",2,2023,12,S034,60.62,"",C,604.449,100,600860611899554556,154.671,03,20221031,M015,D,50,5930524340,K,S653,41083710659906711,356.114,69.651,007,011,3,7,P041,X,""
KG,3.04,E,797.376,179.432,"",G19,PD,245,1736,60.969,46.289,061,CN,X,X,"",1,2026,12,S029,68.37,"",B,797.376,100,689839389966692302,179.432,02,20220217,M004,M,29,6991024662,K,S167,53259806541549739,349.186,18.841,020,002,2,6,P020,X,X
EA,1.08,E,212.42,72.147,X,G15,VB,729,8818,25.238,10.053,050,CN,X,"",X,2,2025,12,S033,77.73,"",A,212.42,100,742922470096718714,72.147,01,20240215,M009,D,19,1372552933,K,S198,61037216526918227,318.935,57.241,023,019,3,4,P034,X,X
M,2.53,F,783.99,247.979,"",G11,ND,909,7080,92.248,150.839,053,IN,"",X,X,2,2024,07,S018,65.3,"",A,783.99,100,354815548019986401,247.979,01,20230828,M007,D,5,1963611420,K,S252,63736046995121856,468.407,69.698,007,028,2,8,P049,X,X
EA,0.98,X,74.452,18.325,X,G16,PD,984,4808,7.498,70.458,049,DE,"","","",1,2024,11,S045,41.91,"",C,74.452,100,953127962217482383,18.325,01,20240603,M011,D,15,5550449026,K,S576,96818373050772028,131.818,60.719,003,011,3,4,P025,"",X
M,4.33,X,148.343,52.498,X,G20,PD,749,6571,13.519,117.067,049,CN,X,"","",1,2022,07,S032,40.88,"",B,148.343,100,297276341609952067,52.498,03,20230222,M013,W,6,3919091026,K,S885,12825328595377378,410.471,13.527,022,021,3,10,P031,"",""
KG,0.47,X,179.717,58.995,X,G09,PD,745,2716,12.118,30.043,032,US,X,"",X,2,2026,06,S017,151.62,"",A,179.717,100,150087537731233603,58.995,02,20220831,M019,W,42,3445252039,K,S251,40091908277283089,416.34,93.566,008,001,3,8,P023,"",""
KG,1.87,E,1760.042,414.765,"",G09,ND,634,6348,100.808,183.929,094,DE,"","",X,2,2026,10,S015,105.34,"",C,1760.042,100,226951977170049010,414.765,03,20250503,M005,D,7,5418050613,K,S540,29657707275645713,464.49,66.667,022,012,3,5,P006,"",X
L,4.79,F,188.58,59.167,"",G07,PD,970,2547,13.194,171.672,097,DE,"","","",1,2026,09,S009,177.09,"",A,188.58,100,589099533337548066,59.167,03,20251213,M007,W,13,2496225871,K,S212,11922748465170405,296.311,18.221,001,007,2,10,P047,X,X
EA,3.27,F,31.738,15.751,X,G05,PD,556,7437,6.1,172.402,041,US,"","","",2,2023,04,S039,92.09,"",B,31.738,100,472426977048668691,15.751,01,20250929,M001,M,59,6933384566,K,S877,44629354767336133,360.548,55.846,018,013,2,5,P002,X,""
KG,4.35,F,517.68,187.589,X,G17,PD,796,3089,50.651,193.559,085,CN,"","",X,3,2026,08,S017,121.98,"",C,517.68,100,852524607699274474,187.589,03,20240206,M019,W,27,7106640235,K,S798,97380638080002952,489.3,69.676,012,009,2,4,P040,X,X
EA,3.71,X,1054.702,250.684,X,G16,VB,562,2289,122.017,16.699,095,CN,X,"",X,3,2023,12,S011,29.42,"",C,1054.702,100,249512056446626589,250.684,02,20241011,M011,D,53,5979092168,K,S613,22455346668961870,400.705,40.78,019,018,1,4,P012,"",""
KG,2.66,X,154.511,48.777,"",G13,PD,121,9707,18.67,112.836,019,US,X,"",X,3,2022,07,S018,124.02,"",A,154.511,100,353008684485212470,48.777,02,20250427,M013,M,25,1539620399,K,S988,49387325126167596,457.15,43.842,009,009,1,2,P032,X,""
L,0.62,F,761.286,368.319,"",G17,ND,852,1076,136.804,131.37,011,IN,X,X,X,2,2023,11,S026,156.2,"",B,761.286,100,463974517750100052,368.319,03,20230712,M001,D,52,9488687267,K,S766,94467317487022601,153.377,97.739,023,013,2,8,P002,"",""
M,0.66,F,401.628,86.591,"",G10,VB,787,3681,22.122,119.127,018,CN,X,X,"",3,2022,08,S016,105.52,"",C,401.628,100,458538938825391319,86.591,03,20250430,M012,M,16,2053417421,K,S227,76378658139524901,220.778,42.33,021,000,3,5,P029,X,X
EA,4.3,X,761.613,231.493,X,G10,VB,929,8960,62.351,131.659,045,CN,"","","",2,2025,10,S011,55.29,"",A,761.613,100,525678913539894267,231.493,01,20220805,M004,D,50,3109350059,K,S807,24879454820688502,195.221,86.194,028,001,1,9,P050,"",""
L,3.22,X,1020.841,347.383,"",G05,ND,790,9177,96.436,41.733,083,US,"","",X,2,2023,11,S031,38.97,"",C,1020.841,100,774217819793608260,347.383,02,20240423,M006,M,41,5891619565,K,S838,24540233789068593,297.097,93.051,003,005,1,10,P003,"",""
M,2.3,F,605.403,227.077,X,G06,ND,757,2357,51.517,73.44,034,DE,"","","",2,2026,05,S011,196.59,"",B,605.403,100,495526349460999762,227.077,03,20230605,M020,W,5,8411132369,K,S570,61677227901442929,83.883,81.73,014,018,1,6,P012,X,""
L,3.94,X,1382.869,468.581,"",G09,PD,890,2930,159.907,112.717,007,IN,X,X,X,1,2024,03,S018,77.81,"",A,1382.869,100,928304027423760026,468.581,03,20230625,M015,D,51,9498584062,K,S321,16387819956727830,474.036,39.336,010,004,2,7,P048,"",""
KG,0.23,F,1350.762,320.317,X,G01,ND,403,4066,131.638,9.368,062,IN,X,"",X,3,2025,01,S022,173.86,"",C,1350.762,100,406080881004824230,320.317,01,20220812,M003,W,50,3035944809,K,S606,13512661141812647,366.885,83.411,007,029,1,10,P026,X,X
L,4.16,X,1045.903,218.509,X,G13,ND,732,8651,61.799,136.519,063,IN,X,"","",2,2023,05,S046,127.45,"",B,1045.903,100,131702170296158872,218.509,03,20240903,M007,W,4,4915245054,K,S726,30628192597855127,270.132,63.795,023,000,3,3,P022,X,X
EA,4.98,E,1158.04,339.92,X,G02,PD,805,1284,153.763,40.931,031,CN,"",X,X,3,2024,07,S016,114.65,"",C,1158.04,100,652978483190774411,339.92,02,20230218,M010,D,5,7185468414,K,S253,47655815287662375,85.85,96.538,006,009,2,4,P005,"",X
L,0.28,X,846.688,257.242,"",G06,PD,389,6575,119.42,52.806,023,US,"","","",1,2024,03,S029,162.71,"",C,846.688,100,876155499027838237,257.242,01,20241209,M015,D,53,4631914059,K,S393,93468902832465145,155.999,24.427,025,018,3,1,P024,"",X
M,2.38,E,494.85,101.814,X,G02,ND,646,7599,34.971,26.328,075,CN,"",X,"",1,2024,05,S014,27.48,"",B,494.85,100,993147905653554355,101.814,02,20220324,M009,M,30,3454158044,K,S384,39574542460272362,323.84,81.997,010,014,3,2,P040,X,""
M,3.24,X,917.033,239.56,X,G12,PD,251,2263,69.314,10.614,024,IN,X,"",X,2,2025,04,S019,48.77,"",A,917.033,100,734592034917215484,239.56,02,20221215,M019,D,49,8049803162,K,S800,53222515918390456,340.727,34.841,025,028,2,6,P010,X,X
L,1.38,X,725.951,356.732,"",G14,VB,227,7908,112.127,11.409,016,DE,"","",X,2,2026,12,S049,198.77,"",C,725.951,100,959862667359323698,356.732,01,20220531,M006,M,56,3241467281,K,S586,98110920775507256,440.374,39.646,010,029,1,6,P025,X,X
L,2.35,F,1145.494,337.702,X,G02,PD,214,5165,85.823,182.925,026,CN,X,X,"",3,2023,08,S011,65.55,"",B,1145.494,100,136934086470969502,337.702,01,20220422,M007,W,40,4351194821,K,S257,50736834995235551,397.805,16.103,006,006,3,6,P035,X,""
M,2.91,E,250.703,80.291,"",G14,VB,145,4486,19.261,151.543,004,IN,"",X,X,2,2022,12,S026,111.36,"",C,250.703,100,371348707063061142,80.291,01,20230928,M010,W,22,4946081445,K,S199,86157560997115213,414.177,6.741,019,010,3,2,P009,X,X
EA,0.36,E,1209.27,345.056,"",G06,ND,415,8145,167.309,176.922,082,US,"","","",3,2022,05,S039,27.13,"",B,1209.27,100,974772516055777896,345.056,03,20240511,M013,W,58,8816441973,K,S256,62254075475163170,193.668,87.92,030,030,1,8,P015,"",X
EA,3.41,F,153.132,69.718,X,G19,VB,485,4290,17.595,100.838,017,DE,"","","",2,2022,03,S020,106.08,"",C,153.132,100,266305219013343293,69.718,01,20241014,M013,W,15,9003615857,K,S368,84674393977840708,383.58,25.232,020,012,2,2,P048,"",""
EA,2.2,E,1275.723,266.01,"",G03,ND,475,5088,58.079,30.077,070,DE,X,"",X,2,2022,12,S027,115.23,"",A,1275.723,100,333258610426505164,266.01,02,20220916,M017,M,15,8442201905,K,S460,66748534211617970,318.012,15.916,029,019,3,3,P015,"",X
EA,0.85,E,328.888,99.322,X,G16,VB,158,3892,29.547,19.694,047,IN,"",X,"",3,2023,09,S042,106.05,"",A,328.888,100,454779671754451096,99.322,02,20240625,M011,W,53,1524541039,K,S177,81584404463690583,363.295,34.222,021,010,3,1,P009,X,X
