BDIFP,BUKRS,BWKEY,BWMOD,EFREJ,ERKLAERKOM,FMP_PRFRGR,FMP_PRSFR,MANDT,MLAST,MLASV,MLBWA,MLBWV,MLCCS,PRSFR,UPROF,WBPRO,X2FDO,XBKNG,XEFRE,XEWRX,XLBPD,XVKBW
3.26,3396,V475,0001,2022,X,GR24,X,100,2,"",X,X,"",X,UP01,WB02,"","",X,"","",""
2.91,5659,V476,0002,2023,X,GR42,X,100,2,X,"",X,X,X,UP03,WB02,"","","","",X,X
0.83,6621,V477,0002,2016,"",GR50,"",100,2,X,X,"","",X,UP03,WB03,X,"",X,"",X,X
3.7,4764,V478,0003,2025,"",GR43,"",100,3,X,"","","","",UP01,WB02,X,X,"","",X,""
0.46,2111,V479,0001,2017,"",GR98,X,100,2,"",X,X,X,"",UP02,WB02,X,"","",X,X,X
2.43,5596,V480,0001,2026,"",GR47,"",100,3,"","",X,X,X,UP02,WB01,X,"","",X,X,X
2.26,10879,V481,0001,2015,"",GR16,X,100,"","",X,X,"",X,UP03,WB02,X,X,X,"",X,""
3.42,6024,V482,0001,2026,X,GR12,"",100,3,X,X,X,"",X,UP03,WB01,X,"","",X,"",X
1.9,6403,V483,0002,2016,X,GR11,"",100,2,X,"","","","",UP01,WB03,X,X,"",X,X,""
0.41,6812,V484,0002,2021,"",GR48,"",100,3,X,"",X,"","",UP03,WB03,X,X,X,X,"",""
4.68,6308,V485,0004,2015,X,GR30,X,100,"","","",X,"",X,UP01,WB03,X,X,"","",X,""
4.67,1671,V486,0001,2015,"",GR28,"",100,2,"",X,X,"","",UP01,WB03,X,"",X,"",X,X
3.83,9917,V487,0004,2019,"",GR19,"",100,3,"","","",X,"",UP02,WB02,"",X,X,X,X,""
2.96,5067,V488,0003,2015,"",GR62,"",100,"","","",X,X,"",UP02,WB02,X,"",X,X,X,""
1.63,10590,V489,0004,2020,"",GR65,X,100,2,"",X,X,"","",UP02,WB03,X,"",X,"","",X
4.24,5996,V490,0003,2026,"",GR79,"",100,3,"",X,X,X,"",UP03,WB01,X,X,"","",X,X
4.27,6930,V491,0004,2019,X,GR14,"",100,3,"","","","","",UP03,WB01,X,X,"","","",X
3.6,1140,V492,0001,2017,"",GR41,X,100,2,"","",X,X,"",UP03,WB01,"",X,X,"","",X
2.38,4057,V493,0004,2026,"",GR48,"",100,2,"",X,X,"","",UP03,WB01,X,X,"","","",X
3.91,10961,V494,0004,2020,"",GR34,X,100,2,"",X,"","","",UP02,WB01,"","","","","",""
2.0,9898,V495,0004,2017,X,GR66,X,100,2,X,"",X,X,"",UP01,WB03,"","",X,X,"",X
2.83,1163,V496,0001,2022,X,GR73,"",100,"","",X,X,X,X,UP03,WB02,X,X,"","",X,X
0.09,2131,V497,0004,2022,X,GR13,X,100,"","","","","","",UP03,WB01,"","",X,"","",X
1.69,5413,V498,0001,2015,X,GR86,"",100,"",X,X,X,X,"",UP01,WB03,"",X,X,X,X,X
0.21,1378,V499,0003,2020,"",GR86,X,100,3,X,X,"","",X,UP01,WB02,X,X,X,"","",""
1.32,9349,V500,0002,2017,X,GR80,"",100,3,X,X,"","","",UP01,WB01,X,X,"",X,"",X
0.18,9038,V001,0003,2026,"",GR14,"",100,2,X,X,X,"",X,UP02,WB02,"",X,"","",X,""
3.3,2446,V002,0004,2015,X,GR29,"",100,"",X,"","",X,X,UP03,WB02,X,X,X,"","",""
2.4,6363,V003,0003,2015,X,GR70,X,100,3,"",X,"",X,"",UP02,WB01,X,X,"","",X,""
2.65,2248,V004,0001,2020,X,GR76,X,100,"","","",X,"",X,UP01,WB03,X,X,X,X,X,X
3.39,2850,V005,0002,2018,X,GR45,"",100,3,X,"","","","",UP02,WB01,X,"","",X,X,X
2.33,9290,V006,0001,2020,X,GR71,X,100,"",X,X,X,X,"",UP02,WB02,"","",X,"",X,""
4.09,4385,V007,0001,2024,"",GR74,X,100,2,"","",X,X,"",UP01,WB03,X,X,X,X,X,X
0.76,3479,V008,0002,2018,"",GR98,X,100,3,"",X,X,X,X,UP03,WB01,X,X,X,X,X,""
2.11,7814,V009,0002,2024,"",GR94,"",100,"","","",X,"","",UP02,WB03,X,X,X,"",X,""
3.08,9514,V010,0002,2020,X,GR19,"",100,"","",X,"","","",UP01,WB02,X,X,"","","",""
3.98,5423,V011,0004,2015,X,GR18,"",100,3,X,"","",X,X,UP01,WB02,X,X,"",X,"",X
2.95,2995,V012,0002,2015,X,GR31,X,100,3,X,X,"","",X,UP01,WB01,X,"","",X,X,""
4.62,4793,V013,0003,2018,X,GR98,"",100,"","",X,"",X,"",UP03,WB01,X,X,X,"","",X
0.1,1877,V014,0004,2024,"",GR89,X,100,2,"",X,X,"",X,UP03,WB03,X,"","","",X,X
0.15,1333,V015,0004,2024,X,GR49,X,100,2,X,X,"","",X,UP02,WB01,"",X,"","","",""
1.7,9515,V016,0003,2022,X,GR65,"",100,2,X,"","",X,X,UP02,WB01,X,"","",X,X,""
4.1,3709,V017,0001,2015,X,GR59,X,100,3,X,X,X,"","",UP03,WB02,X,X,X,"","",""
3.76,8637,V018,0002,2020,"",GR15,X,100,2,"","",X,X,X,UP02,WB02,X,"",X,"",X,X
4.4,6034,V019,0002,2018,"",GR47,"",100,3,"","","",X,"",UP01,WB03,X,X,X,"",X,X
3.41,6772,V020,0001,2016,"",GR87,"",100,2,X,"",X,"",X,UP01,WB01,"",X,"","","",X
0.1,3982,V021,0003,2025,X,GR52,X,100,2,"","","","","",UP02,WB01,"","","","","",X
1.92,3815,V022,0001,2020,X,GR68,X,100,2,"","","","","",UP03,WB02,X,"",X,"",X,""
3.41,7742,V023,0002,2017,"",GR97,"",100,3,"","",X,X,"",UP02,WB03,X,"",X,"",X,""
0.62,1980,V024,0004,2025,"",GR41,X,100,"",X,"",X,X,"",UP03,WB02,X,X,X,X,"",X
2.72,8967,V025,0003,2018,"",GR32,X,100,2,"","",X,"",X,UP01,WB01,"","","","","",X
0.55,10528,V026,0004,2024,"",GR96,X,100,3,X,"",X,"","",UP01,WB03,X,X,X,"","",X
2.13,6064,V027,0004,2023,"",GR91,X,100,3,"",X,X,"",X,UP01,WB02,X,"",X,"","",X
3.3,8793,V028,0001,2024,"",GR31,X,100,"",X,X,X,X,X,UP01,WB01,X,"",X,X,X,X
0.72,3752,V029,0004,2019,"",GR26,X,100,"",X,"",X,"","",UP03,WB01,X,X,"",X,X,""
2.05,10433,V030,0001,2019,"",GR48,"",100,2,"",X,"",X,"",UP02,WB02,X,X,X,"","",X
1.15,5006,V031,0004,2020,"",GR19,X,100,"","",X,"","","",UP02,WB02,X,X,X,"","",""
3.51,3337,V032,0002,2024,"",GR66,"",100,"",X,"",X,"",X,UP02,WB01,"",X,"",X,X,X
3.07,6977,V033,0002,2018,"",GR59,X,100,2,X,"",X,"",X,UP01,WB03,"",X,X,X,"",X
2.88,1495,V034,0004,2021,"",GR48,X,100,3,"",X,"",X,"",UP03,WB03,"",X,"",X,"",X
1.66,1191,V035,0004,2017,X,GR44,"",100,2,"",X,"",X,"",UP02,WB03,X,X,"","","",X
0.07,6390,V036,0003,2026,"",GR10,X,100,3,X,X,X,X,X,UP01,WB01,X,X,"","","",""
0.75,10665,V037,0002,2019,X,GR51,"",100,3,"",X,"",X,X,UP01,WB01,X,X,"","","",X
3.19,8452,V038,0001,2018,X,GR26,"",100,3,X,"","",X,X,UP02,WB02,X,X,X,"","",""
3.55,9317,V039,0002,2023,"",GR51,"",100,3,"","",X,"",X,UP02,WB02,X,X,X,X,"",""
1.13,6050,V040,0001,2019,"",GR49,X,100,"",X,"","","","",UP01,WB03,"","",X,"",X,X
0.62,10309,V041,0002,2022,"",GR77,"",100,"","","","",X,"",UP02,WB02,"",X,"","",X,""
2.07,4197,V042,0004,2020,"",GR85,"",100,2,X,X,X,X,X,UP02,WB03,"",X,"","","",""
3.4,10321,V043,0003,2023,"",GR18,X,100,3,"",X,"",X,X,UP01,WB01,X,X,"","","",""
2.45,3969,V044,0004,2023,"",GR56,X,100,2,X,"","",X,"",UP03,WB03,X,"",X,X,"",X
3.0,7855,V045,0003,2025,X,GR60,"",100,"",X,"",X,X,X,UP03,WB02,X,X,X,"",X,X
2.41,2328,V046,0002,2022,X,GR29,"",100,"",X,"",X,X,X,UP02,WB01,"",X,"",X,X,X
4.92,8869,V047,0001,2015,"",GR56,X,100,2,X,X,X,X,X,UP02,WB03,X,X,"",X,X,X
1.6,7602,V048,0004,2015,"",GR38,X,100,2,"",X,X,"",X,UP01,WB01,X,X,X,X,X,""
0.69,9381,V049,0004,2019,X,GR61,X,100,2,"","","","",X,UP01,WB01,"","","","","",X
2.63,7866,V050,0003,2015,"",GR63,X,100,3,X,"",X,X,X,UP02,WB01,"","",X,"",X,""
4.61,3510,V051,0001,2021,X,GR50,"",100,"",X,X,X,X,"",UP01,WB03,X,X,"",X,"",X
3.59,9377,V052,0004,2024,"",GR36,"",100,2,"",X,"",X,"",UP01,WB03,"","","",X,X,X
4.9,5293,V053,0003,2018,"",GR90,"",100,3,"",X,X,X,"",UP03,WB03,"","",X,"","",""
0.09,9662,V054,0004,2020,X,GR71,"",100,"","",X,"",X,X,UP01,WB01,"","","",X,X,X
1.88,4277,V055,0002,2020,X,GR71,"",100,2,X,"","",X,X,UP02,WB03,X,"",X,"","",X
3.99,4471,V056,0002,2016,"",GR34,"",100,"",X,X,"",X,X,UP01,WB01,"","",X,X,"",X
2.11,1382,V057,0001,2023,"",GR51,"",100,"",X,X,"",X,"",UP02,WB02,"",X,X,"","",""
2.23,9608,V058,0004,2022,X,GR46,"",100,2,"",X,X,"",X,UP02,WB03,"","",X,X,"",""
0.74,9050,V059,0002,2024,X,GR16,X,100,3,X,X,"",X,"",UP03,WB01,X,X,"",X,X,""
4.53,7882,V060,0001,2023,X,GR31,"",100,3,X,"","","",X,UP03,WB03,X,X,X,"","",X
0.21,1409,V061,0001,2019,X,GR26,"",100,2,X,X,X,X,"",UP03,WB02,"",X,"",X,"",X
2.53,5750,V062,0002,2024,"",GR71,"",100,"",X,"",X,"",X,UP01,WB03,"","",X,X,X,X
3.08,4226,V063,0001,2016,"",GR28,X,100,"","",X,"","","",UP03,WB01,"",X,X,"","",""
0.36,8361,V064,0003,2020,"",GR44,"",100,"",X,"","","",X,UP02,WB02,"",X,"","",X,X
0.05,10286,V065,0001,2024,"",GR98,"",100,3,X,"","",X,X,UP01,WB03,"",X,X,X,"",""
3.62,3779,V066,0001,2017,"",GR41,X,100,"","",X,"","",X,UP01,WB03,"","","",X,"",""
3.43,5064,V067,0003,2020,X,GR76,X,100,3,X,X,"","",X,UP03,WB02,X,"","",X,"",""
2.02,10414,V068,0004,2022,X,GR50,X,100,3,X,"",X,X,"",UP02,WB01,X,"",X,X,X,""
1.64,3685,V069,0003,2022,"",GR54,"",100,3,X,"",X,"","",UP03,WB02,X,"",X,"","",X
0.24,6711,V070,0003,2026,"",GR37,"",100,2,"",X,"","",X,UP01,WB03,"","",X,X,X,""
2.88,2438,V071,0002,2020,X,GR92,X,100,2,"","","","","",UP01,WB03,"",X,X,"","",""
0.08,1352,V072,0002,2015,X,GR16,"",100,3,X,X,"","","",UP02,WB01,X,"",X,X,"",X
3.38,5972,V073,0003,2020,"",GR34,"",100,2,X,X,X,"",X,UP03,WB01,"",X,"","","",X
4.4,7224,V074,0003,2016,X,GR37,"",100,3,X,"",X,"",X,UP03,WB02,X,"","",X,X,""
1.82,8047,V075,0004,2025,"",GR75,"",100,2,X,X,"","","",UP03,WB02,X,X,"","","",""
1.2,2976,V076,0003,2021,X,GR76,X,100,2,"","",X,X,"",UP01,WB02,"",X,X,"",X,X
3.02,2463,V077,0002,2025,X,GR91,"",100,"",X,X,"","","",UP02,WB02,"",X,X,"",X,X
2.62,4840,V078,0002,2015,X,GR60,X,100,3,"","","",X,X,UP01,WB01,X,X,"","",X,""
1.45,1661,V079,0004,2023,"",GR11,X,100,2,X,"","",X,X,UP01,WB03,X,"","",X,X,""
3.04,4691,V080,0004,2024,"",GR23,X,100,2,X,"","","",X,UP02,WB03,"","",X,"",X,""
1.82,6786,V081,0001,2016,X,GR20,X,100,"","","","",X,X,UP01,WB01,X,"",X,X,X,X
1.24,5420,V082,0002,2025,"",GR73,X,100,3,"",X,"",X,"",UP02,WB01,X,"","","","",""
0.37,8104,V083,0002,2019,X,GR10,X,100,3,"",X,"","",X,UP02,WB02,"",X,X,"",X,X
0.13,5722,V084,0003,2025,X,GR26,X,100,"",X,"",X,"","",UP03,WB03,X,"","",X,"",""
3.96,5557,V085,0003,2016,"",GR80,"",100,3,"",X,X,"",X,UP03,WB01,"","",X,"",X,X
1.04,1180,V086,0001,2018,X,GR34,"",100,3,"",X,"",X,"",UP01,WB01,"",X,"","",X,X
0.61,9981,V087,0004,2020,X,GR73,X,100,"","",X,"",X,X,UP01,WB03,X,X,"","",X,X
2.97,7251,V088,0003,2023,X,GR82,X,100,3,X,"",X,X,X,UP02,WB03,X,X,X,X,"",X
1.93,1076,V089,0004,2019,"",GR92,X,100,"",X,"",X,"",X,UP01,WB01,X,"",X,"","",X
3.92,2548,V090,0002,2026,X,GR61,X,100,3,X,X,"",X,X,UP01,WB02,X,X,X,X,X,""
0.26,7116,V091,0004,2025,"",GR47,X,100,2,"","","",X,X,UP03,WB03,X,X,"",X,X,X
0.38,7403,V092,0001,2020,"",GR62,X,100,"","",X,"",X,X,UP03,WB02,"","","","",X,X
2.76,7627,V093,0003,2022,"",GR30,"",100,3,"",X,X,X,X,UP01,WB01,"",X,X,"",X,""
3.52,2252,V094,0003,2021,X,GR94,"",100,"","","",X,X,"",UP02,WB03,"","","","",X,""
0.09,6841,V095,0004,2022,X,GR14,"",100,2,X,X,X,X,"",UP02,WB03,X,"","","",X,""
3.72,2145,V096,0002,2017,"",GR31,X,100,"","",X,"",X,X,UP03,WB01,"","","",X,X,""
1.68,7601,V097,0003,2021,X,GR25,X,100,"","","",X,X,"",UP01,WB01,"","","","",X,""
1.49,3404,V098,0001,2024,X,GR21,"",100,2,X,"",X,X,X,UP03,WB02,"","","",X,"",X
0.21,9818,V099,0002,2026,"",GR62,X,100,"",X,"","",X,"",UP03,WB02,X,"",X,X,"",X
1.93,4623,V100,0003,2026,X,GR17,"",100,3,X,X,"","","",UP01,WB02,"","",X,X,"",""
2.08,5979,V101,0002,2023,"",GR65,X,100,"","","","","","",UP01,WB03,X,"","",X,X,X
4.53,6428,V102,0001,2016,X,GR95,X,100,"","",X,"",X,"",UP03,WB01,"",X,X,X,X,""
1.97,6866,V103,0002,2017,X,GR77,X,100,"",X,X,X,"","",UP01,WB01,"","",X,X,"",""
0.97,3078,V104,0004,2015,X,GR46,X,100,3,"","",X,X,X,UP02,WB01,X,X,X,X,"",X
1.99,9980,V105,0004,2020,X,GR86,"",100,2,X,X,"",X,"",UP01,WB03,X,"","","",X,""
3.63,10852,V106,0003,2017,"",GR32,X,100,3,X,X,"",X,X,UP03,WB03,"","",X,"","",""
0.22,1970,V107,0001,2025,X,GR45,X,100,2,"",X,X,"","",UP01,WB02,X,X,"","","",""
2.08,3813,V108,0001,2016,X,GR31,"",100,3,"",X,X,"",X,UP02,WB02,X,X,"",X,X,X
1.61,5119,V109,0004,2024,"",GR39,"",100,2,"","",X,X,X,UP03,WB02,X,"","","",X,X
3.63,7571,V110,0004,2019,X,GR88,"",100,3,X,"",X,"","",UP03,WB01,X,X,X,"",X,""
3.06,5074,V111,0002,2018,"",GR63,X,100,"","",X,"","","",UP02,WB02,"","","","","",X
2.27,7564,V112,0002,2020,X,GR16,"",100,2,"","","",X,X,UP03,WB03,"","",X,X,"",""
0.87,4738,V113,0001,2022,X,GR59,"",100,"","",X,"",X,"",UP02,WB01,X,"",X,X,"",""
4.6,1575,V114,0001,2021,X,GR27,"",100,2,X,X,X,X,X,UP03,WB02,X,"",X,"","",""
1.64,8533,V115,0004,2022,"",GR51,"",100,3,"",X,"","","",UP03,WB02,X,X,"",X,X,X
4.9,8144,V116,0004,2025,X,GR57,"",100,2,X,X,"",X,X,UP01,WB03,"","","","",X,X
0.07,9667,V117,0001,2022,"",GR83,X,100,2,X,"",X,X,"",UP03,WB03,X,"",X,X,"",""
3.09,10607,V118,0004,2020,X,GR49,"",100,3,X,"",X,"",X,UP02,WB02,"",X,X,"","",X
0.08,4758,V119,0003,2015,"",GR73,X,100,2,X,X,"","","",UP02,WB02,"","",X,"","",""
2.26,3962,V120,0003,2022,"",GR79,"",100,"","",X,"","",X,UP02,WB01,X,X,"","",X,""
1.24,10091,V121,0002,2024,"",GR31,X,100,3,"","",X,X,X,UP03,WB01,X,"","",X,X,X
3.82,2002,V122,0002,2015,"",GR15,"",100,2,X,"","","","",UP03,WB02,X,"","",X,"",X
1.48,6486,V123,0001,2021,"",GR18,"",100,"","","","",X,X,UP01,WB02,X,X,X,X,"",X
2.75,5469,V124,0003,2025,X,GR13,X,100,3,"",X,"",X,"",UP02,WB03,X,"","",X,"",""
2.04,6278,V125,0002,2017,"",GR10,X,100,3,"",X,X,"","",UP02,WB01,X,X,"",X,X,X
4.99,10414,V126,0003,2023,"",GR20,X,100,"","","","","","",UP01,WB01,"","","",X,X,""
3.92,1973,V127,0004,2016,X,GR37,"",100,"",X,"",X,X,X,UP01,WB02,"","",X,"",X,X
4.71,7144,V128,0004,2026,"",GR49,X,100,3,X,X,"","","",UP03,WB01,"","","","","",X
0.22,6772,V129,0002,2024,X,GR84,"",100,3,X,X,X,X,X,UP03,WB03,X,"",X,X,"",X
2.42,7934,V130,0003,2022,X,GR63,"",100,2,X,"",X,X,X,UP03,WB01,X,"",X,X,X,X
3.36,3172,V131,0004,2020,"",GR40,X,100,2,X,X,X,X,"",UP02,WB03,"",X,X,X,X,X
1.37,7805,V132,0002,2026,"",GR60,"",100,"",X,"","",X,X,UP01,WB03,"",X,X,X,"",""
0.07,7982,V133,0001,2026,"",GR48,X,100,2,"","","","",X,UP03,WB03,X,X,X,"","",X
1.64,2144,V134,0004,2019,X,GR77,X,100,3,X,X,X,X,X,UP03,WB01,X,X,X,X,X,""
0.6,2075,V135,0004,2019,"",GR89,"",100,2,X,X,X,"","",UP03,WB03,X,X,"",X,"",X
1.08,10433,V136,0001,2015,X,GR18,"",100,"","","","","",X,UP01,WB01,X,X,"",X,X,X
4.55,7464,V137,0004,2016,"",GR67,"",100,3,X,X,X,X,"",UP03,WB03,X,"",X,"","",X
0.54,6885,V138,0002,2020,"",GR73,X,100,2,X,X,X,"","",UP03,WB03,"",X,"",X,X,""
0.57,1789,V139,0001,2021,X,GR76,"",100,"","","","","","",UP03,WB03,"","",X,X,X,X
3.51,1136,V140,0003,2022,"",GR10,X,100,2,X,"","",X,X,UP01,WB01,"",X,X,X,X,X
1.14,9551,V141,0002,2023,"",GR83,"",100,2,X,"","",X,"",UP03,WB01,X,"",X,"",X,""
0.82,2093,V142,0002,2019,X,GR59,X,100,3,X,X,"","",X,UP03,WB03,"",X,X,X,X,""
4.41,7116,V143,0004,2016,"",GR78,X,100,3,X,X,X,"",X,UP03,WB02,"",X,X,X,"",X
3.72,4241,V144,0002,2025,"",GR13,"",100,2,X,"",X,"","",UP01,WB03,"","",X,X,X,X
2.79,1619,V145,0001,2017,"",GR28,"",100,"","",X,"","",X,UP01,WB02,"","",X,X,"",X
0.82,5439,V146,0004,2016,"",GR78,X,100,2,"",X,X,"",X,UP03,WB01,X,"","",X,"",X
3.91,9238,V147,0003,2021,"",GR35,X,100,"","","",X,"","",UP02,WB02,"","","","",X,""
3.41,1744,V148,0002,2016,X,GR78,"",100,"",X,X,"",X,X,UP01,WB02,"","",X,X,X,X
4.97,3695,V149,0002,2023,"",GR11,"",100,3,"","",X,"",X,UP02,WB02,"","",X,X,"",""
1.49,4436,V150,0004,2026,X,GR28,X,100,"",X,"","","",X,UP03,WB02,X,"","",X,"",""
4.09,9374,V151,0004,2018,"",GR32,"",100,"","",X,"","","",UP02,WB02,X,"",X,X,X,""
3.16,5270,V152,0004,2024,X,GR44,X,100,"","",X,X,X,"",UP03,WB03,X,X,X,X,X,""
2.9,1067,V153,0004,2017,"",GR80,X,100,"","","",X,"",X,UP02,WB02,X,X,X,"","",X
0.5,7063,V154,0001,2019,X,GR51,"",100,3,X,"","",X,"",UP02,WB03,"","","","","",X
4.46,3777,V155,0003,2024,X,GR85,X,100,"",X,X,X,"",X,UP02,WB01,X,X,"","",X,""
3.36,4200,V156,0002,2020,X,GR76,"",100,2,"","","",X,X,UP03,WB01,X,X,X,"",X,""
4.08,7010,V157,0003,2020,X,GR80,X,100,"","","","","",X,UP02,WB03,X,"",X,"","",""
3.87,9757,V158,0003,2019,X,GR58,X,100,3,X,X,X,"",X,UP01,WB03,X,X,X,"","",X
0.57,10874,V159,0001,2024,"",GR63,X,100,3,"",X,X,X,X,UP03,WB01,"","","","","",X
3.29,10368,V160,0004,2022,X,GR27,X,100,"","",X,"","","",UP03,WB02,"","",X,X,X,X
1.07,3750,V161,0002,2024,X,GR21,X,100,"","","","",X,"",UP01,WB03,X,"",X,"","",X
3.93,3370,V162,0001,2017,"",GR99,X,100,"",X,X,"","","",UP01,WB01,X,X,X,"",X,""
3.6,5934,V163,0001,2021,X,GR70,"",100,"",X,"",X,X,X,UP03,WB02,X,"","","","",""
2.41,3066,V164,0002,2016,"",GR11,"",100,"",X,"",X,"","",UP01,WB01,X,X,X,X,X,""
4.18,6780,V165,0002,2023,"",GR76,"",100,3,X,"",X,X,"",UP02,WB03,X,"","",X,X,""
2.99,9353,V166,0001,2021,"",GR26,X,100,3,X,"","",X,X,UP01,WB01,X,X,X,X,X,""
4.5,4238,V167,0003,2026,X,GR98,X,100,2,"",X,"","","",UP02,WB03,"","","",X,"",X
1.85,7969,V168,0002,2018,X,GR94,X,100,2,"","",X,"",X,UP01,WB01,X,"","","","",X
2.65,8444,V169,0001,2021,X,GR67,X,100,2,X,"","",X,X,UP03,WB03,"","",X,"","",""
1.95,6424,V170,0004,2024,X,GR39,X,100,"","",X,"","","",UP03,WB01,"","",X,X,X,X
1.48,5631,V171,0004,2025,X,GR77,"",100,"",X,X,X,"",X,UP01,WB02,"",X,X,"",X,X
1.73,4485,V172,0004,2023,X,GR22,X,100,3,"",X,"","","",UP02,WB01,"","",X,X,X,X
4.47,7294,V173,0004,2020,X,GR44,"",100,"","",X,X,X,X,UP03,WB02,X,X,X,X,X,""
1.99,9969,V174,0004,2020,"",GR72,X,100,2,X,"",X,X,X,UP03,WB02,"","","","","",""
1.39,2698,V175,0001,2017,"",GR38,X,100,2,"",X,"","","",UP03,WB02,"","",X,X,X,""
0.06,5874,V176,0001,2026,"",GR11,"",100,3,X,"",X,"",X,UP03,WB01,X,"","","",X,X
2.22,7411,V177,0002,2016,X,GR60,"",100,3,"","",X,X,"",UP02,WB01,X,"","",X,X,X
1.41,5286,V178,0001,2015,X,GR31,X,100,"",X,X,"",X,"",UP01,WB02,X,"",X,"",X,""
4.39,9046,V179,0004,2020,X,GR31,X,100,2,X,"",X,X,"",UP02,WB02,X,X,X,"","",""
1.0,1075,V180,0001,2018,"",GR14,X,100,3,X,X,"",X,"",UP03,WB02,"",X,X,"","",""
1.43,8945,V181,0002,2017,"",GR13,"",100,2,"",X,X,"",X,UP02,WB02,"",X,X,"","",""
4.65,8155,V182,0004,2026,"",GR15,X,100,"","","",X,X,"",UP01,WB01,"","",X,"","",X
4.91,9557,V183,0002,2020,"",GR61,X,100,"","","",X,"","",UP02,WB03,X,"",X,X,"",X
0.1,5653,V184,0003,2015,"",GR99,"",100,2,X,"","",X,"",UP01,WB02,X,X,"",X,"",""
3.52,7383,V185,0001,2025,X,GR62,"",100,3,"","",X,"","",UP01,WB02,"",X,X,X,X,X
2.99,1719,V186,0001,2020,"",GR73,"",100,2,X,"",X,"","",UP02,WB01,"","","","",X,""
2.75,4289,V187,0002,2015,"",GR74,"",100,2,X,X,"","","",UP03,WB02,"","",X,X,X,""
3.38,1311,V188,0002,2020,"",GR25,"",100,2,"",X,"","","",UP01,WB02,X,X,X,X,"",""
4.63,3893,V189,0003,2021,X,GR46,X,100,"",X,"","",X,"",UP03,WB01,X,X,"",X,"",X
1.6,2283,V190,0001,2016,"",GR54,"",100,3,"",X,"",X,X,UP01,WB02,X,"","",X,"",X
0.48,3338,V191,0002,2017,X,GR57,"",100,3,"",X,X,X,X,UP01,WB03,X,"",X,"",X,X
2.87,4313,V192,0002,2018,X,GR45,X,100,2,"","",X,X,"",UP02,WB01,"","","",X,X,""
0.6,10013,V193,0004,2017,"",GR51,X,100,"","","",X,X,X,UP02,WB01,X,X,X,X,X,X
3.05,3370,V194,0001,2021,X,GR45,X,100,3,"","",X,X,X,UP01,WB01,"","","","",X,X
4.7,1135,V195,0001,2025,"",GR29,X,100,"","",X,X,"","",UP01,WB02,X,X,X,X,X,""
1.28,5110,V196,0002,2018,X,GR30,"",100,"",X,"",X,"","",UP03,WB01,X,X,X,X,X,""
2.99,2845,V197,0003,2019,"",GR89,X,100,"",X,"",X,X,"",UP02,WB01,X,"","",X,"",X
1.22,2853,V198,0002,2016,"",GR16,"",100,3,"","","","","",UP03,WB02,"",X,X,"",X,X
4.4,6244,V199,0003,2020,"",GR37,X,100,3,X,"","",X,"",UP02,WB02,"","",X,X,"",X
2.22,2741,V200,0003,2020,X,GR32,"",100,3,"","",X,"",X,UP01,WB03,X,"",X,"","",X
0.68,6762,V201,0002,2023,X,GR91,X,100,3,X,X,"",X,X,UP03,WB03,"","","",X,"",X
0.68,7917,V202,0004,2026,X,GR28,X,100,"","","","","",X,UP02,WB02,"","","",X,X,""
3.53,10947,V203,0004,2020,X,GR77,X,100,2,X,"","",X,X,UP02,WB02,"","","","",X,X
1.21,10476,V204,0003,2020,X,GR31,X,100,2,"",X,X,"",X,UP03,WB03,X,"",X,X,"",X
0.44,7644,V205,0002,2017,"",GR75,"",100,3,X,X,"","","",UP02,WB02,"",X,"",X,"",""
4.43,4167,V206,0001,2025,"",GR92,"",100,2,"",X,"","","",UP01,WB01,"","","","","",X
2.9,2589,V207,0004,2018,"",GR21,X,100,"",X,X,X,"",X,UP01,WB02,"",X,"",X,X,""
3.24,4092,V208,0004,2018,X,GR42,X,100,2,"",X,"","",X,UP01,WB03,X,"",X,"",X,X
2.56,2037,V209,0002,2023,"",GR22,"",100,"","",X,X,"",X,UP02,WB02,X,"","",X,X,""
1.77,1311,V210,0003,2025,"",GR30,"",100,2,"","",X,"",X,UP02,WB01,"",X,"","",X,""
2.11,4145,V211,0003,2018,"",GR51,"",100,2,"",X,X,"","",UP03,WB03,X,X,"",X,X,X
2.31,4343,V212,0003,2020,X,GR71,X,100,"","",X,"",X,X,UP02,WB02,X,"","","",X,X
2.42,6499,V213,0004,2022,X,GR26,X,100,"",X,X,X,X,X,UP03,WB02,X,X,"","",X,""
2.27,5281,V214,0001,2020,X,GR44,"",100,3,"","",X,"","",UP03,WB03,X,X,"","",X,""
4.81,2106,V215,0001,2021,"",GR69,"",100,"","",X,X,X,"",UP01,WB03,X,"",X,X,"",""
1.79,7297,V216,0003,2020,X,GR76,X,100,"",X,X,X,X,"",UP01,WB01,"","","",X,"",X
3.79,10725,V217,0001,2024,X,GR48,X,100,2,X,X,"",X,"",UP02,WB01,"",X,"",X,X,""
2.84,4154,V218,0002,2021,"",GR52,X,100,"",X,"",X,"",X,UP01,WB03,"",X,"",X,"",""
4.81,7331,V219,0003,2018,X,GR28,"",100,3,X,X,"","",X,UP01,WB01,X,"","",X,X,X
3.33,2382,V220,0004,2026,"",GR10,X,100,2,X,"","","","",UP03,WB01,"","",X,X,X,""
2.65,3287,V221,0003,2017,X,GR18,X,100,3,"",X,X,X,"",UP03,WB02,"",X,"",X,"",""
